Name,Macroarea,Family,Genus,WL,Index0,Index1,Index2,Index3,Index4,Index5,Index6,T,T_max,T_min,T_sd,T_diff,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,Index6_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Aeka 2,Pacific,TNG,TNG.BINANDEREAN,4.39,11.3631,41.9693,5.3423,3.6307,1.7921,2.1801,5.3423,26.1938,27.0134,25.3442,0.7057,1.6691,0.5855,1.3291,0.5814,1.5334,1.5632,1.2025,1.5759,1.4895,0.8472,0.3240,1.0259,-0.9791,-0.8449
Aekyom,Pacific,KE,KE.ELEVALA,3.6364,10.5306,41.9237,4.8105,3.3525,1.6881,2.0617,4.8105,25.9980,26.8434,24.9476,0.8012,1.8958,-0.4635,0.2152,0.5719,-0.3377,0.2385,-0.4849,0.5633,-0.3686,0.7882,0.2812,0.9339,-0.8162,-0.7276
Aekyom 2,Pacific,KE,KE.ELEVALA,4.6296,10.0071,38.3955,4.6134,3.2356,1.6639,2.0252,4.6134,25.9980,26.8434,24.9476,0.8012,1.8958,0.8841,-0.4439,-0.1784,-0.9697,-0.2929,-0.8354,0.2508,-0.9932,0.7882,0.2812,0.9339,-0.8162,-0.7276
Afade,Africa,AA,AA.BIU-MANDARA,4.2,10.402,41.6231,4.872,3.2864,1.6793,2.0129,4.872,28.5737,33.4718,24.9104,2.8622,8.5614,0.3377,0.0503,0.5088,-0.1338,-0.0638,-0.6141,0.1454,-0.1667,1.6393,2.2396,0.9253,0.6167,0.6568
Afar,Africa,AA,AA.LOWLAND_EAST_CUSHITIC,4.1667,10.2494,39.6099,4.8949,3.341,1.6962,2.0235,4.9308,26.8141,32.2807,21.8550,3.6564,10.4257,0.2933,-0.1428,0.0824,-0.0570,0.1856,-0.3642,0.2362,0.0295,1.0399,1.8432,0.2888,0.8547,0.8370
Afar 2,Africa,AA,AA.LOWLAND_EAST_CUSHITIC,4.3421,10.7703,44.368,4.9826,3.4105,1.7117,2.0704,4.9958,26.8141,32.2807,21.8550,3.6564,10.4257,0.5240,0.5277,1.0793,0.2411,0.5077,-0.1283,0.6377,0.2499,1.0399,1.8432,0.2888,0.8547,0.8370
Afar 3,Africa,AA,AA.LOWLAND_EAST_CUSHITIC,4.6917,10.5786,44.0384,4.8549,3.2855,1.688,2.0002,4.8549,28.9256,33.8696,24.2355,3.3066,9.6341,0.9592,0.2772,1.0114,-0.1908,-0.0679,-0.4864,0.0367,-0.2232,1.7689,2.3764,0.7740,0.7583,0.7648
Afi Amanda,Africa,NC,NC.TIVOID,3.2647,10.8275,40.5419,5.1559,3.376,1.7534,2.0529,5.2441,20.9799,22.9921,19.0428,1.4334,3.9493,-1.0576,0.6032,0.2807,0.8497,0.3472,0.5390,0.4879,1.1271,-0.4400,-0.5915,-0.1959,-0.1184,-0.0525
Afitti,Africa,ESu,ESu.NYIMANG,4.0526,11.3282,42.4079,5.2633,3.565,1.8296,2.0495,5.2633,25.8872,30.3895,21.1583,3.0046,9.2312,0.1383,1.2808,0.6732,1.2399,1.2428,1.8878,0.4588,1.1973,0.7552,1.2545,0.1602,0.6648,0.7257
Afrikaans,Africa,IE,IE.GERMANIC,3.3625,8.9469,31.2483,4.4602,2.8427,1.6377,1.7183,4.4602,16.1272,22.9643,8.4721,5.1779,14.4921,-0.8954,-1.6806,-1.7738,-1.4382,-1.9676,-1.1980,-2.3827,-1.4551,-1.2010,-0.5971,-1.3543,1.1743,1.1379
Aga Bereho,Pacific,TNG,TNG.YAREBAN,4.3194,12.2944,52.5461,5.5595,3.8235,1.8167,2.2968,5.5595,23.2495,24.1892,22.2585,0.7915,1.9308,0.4946,2.6706,2.7128,2.3683,2.5304,1.6473,2.5726,2.3223,0.0518,-0.3402,0.3660,-0.8316,-0.7107
Agala,Pacific,TNG,TNG.EAST_STRICKLAND,3.9444,11.6109,43.8318,5.3093,3.6406,1.7269,2.2437,5.3093,24.7799,25.3668,24.0053,0.6001,1.3615,-0.0124,1.6763,0.9688,1.4101,1.6119,0.1094,2.1193,1.3667,0.4414,-0.0755,0.7239,-1.1928,-1.0328
Agarabi,Pacific,TNG,TNG.GAUWA,3.7308,12.6174,53.0306,5.7348,3.9125,1.8759,2.2892,5.7348,23.7680,24.2670,22.9653,0.5993,1.3017,-0.3216,3.1593,2.8068,3.0724,2.9902,2.7943,2.5077,3.0264,0.1783,-0.3232,0.5060,-1.1946,-1.0743
Aghem,Africa,NC,NC.WIDE_GRASSFIELDS,2.8966,10.2957,35.742,4.9333,3.2494,1.6983,2.0069,4.9333,20.2402,21.8836,18.4696,1.2726,3.4140,-1.7111,-0.0845,-0.7580,0.0727,-0.2309,-0.3326,0.0941,0.0379,-0.5799,-0.8086,-0.2840,-0.2550,-0.1863
Aghem 2,Africa,NC,NC.WIDE_GRASSFIELDS,3.1094,10.0025,34.076,4.8518,3.1674,1.6654,1.9797,4.8518,20.2402,21.8836,18.4696,1.2726,3.4140,-1.3245,-0.4496,-1.1293,-0.2011,-0.5959,-0.8141,-0.1390,-0.2334,-0.5799,-0.8086,-0.2840,-0.2550,-0.1863
Aghem Isu,Africa,NC,NC.WIDE_GRASSFIELDS,2.7286,9.1942,32.3952,4.521,3.0319,1.611,1.9267,4.521,20.2402,21.8836,18.4696,1.2726,3.4140,-2.0354,-1.4039,-1.5101,-1.2546,-1.1827,-1.5499,-0.5932,-1.2742,-0.5799,-0.8086,-0.2840,-0.2550,-0.1863
Aghem Weh,Africa,NC,NC.WIDE_GRASSFIELDS,2.7429,8.9643,31.5238,4.5071,3.0119,1.6238,1.9095,4.5071,20.2402,21.8836,18.4696,1.2726,3.4140,-2.0071,-1.6614,-1.7102,-1.2969,-1.2676,-1.3834,-0.7407,-1.3159,-0.5799,-0.8086,-0.2840,-0.2550,-0.1863
