Name,Macroarea,Family,Genus,WL,Index0,Index1,Index2,Index3,Index4,Index5,Index6,T,T_max,T_min,T_sd,T_diff,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,Index6_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Abidji 2,Africa,NC,NC.AGNEBY,3.5286,11.106,40.0557,5.1807,3.556,1.7814,2.1157,5.1807,25.6427,27.1057,23.7170,1.2226,3.3887,-0.6298,0.9765,0.1774,0.9389,1.1993,1.0147,1.0253,0.8978,0.6836,0.3475,0.6621,-0.3016,-0.1932
Abinomn,Pacific,Abi,Abi.ABINOMN,4.0,9.6867,30.0181,4.6874,3.0866,1.7101,1.83,4.6874,26.3174,26.5907,25.9157,0.4492,0.6750,0.0655,-0.8315,-2.0602,-0.7363,-0.9483,-0.1529,-1.4229,-0.7627,0.8848,0.2181,1.1626,-1.5914,-1.6813
Abipon,SouthAmerica,Gcu,Gcu.ABIPON,4.1452,10.73,47.2074,4.8901,3.3719,1.6768,2.0907,4.8901,20.8326,27.4061,13.8517,4.8435,13.5545,0.2644,0.4747,1.6570,-0.0731,0.3282,-0.6505,0.8114,-0.1066,-0.4686,0.4245,-0.8779,1.1146,1.0768
Abirpara Mahali,Eurasia,AuA,AuA.MUNDA,4.0,10.1426,38.4919,4.7437,3.1779,1.7216,1.8986,4.7437,23.6262,30.8864,16.2701,4.7290,14.6162,0.0655,-0.2764,-0.1576,-0.5556,-0.5496,0.0258,-0.8342,-0.5841,0.1432,1.4045,-0.5913,1.0930,1.1457
Abkhaz,Eurasia,NWC,NWC.NORTHWEST_CAUCASIAN,3.3462,9.4402,41.5464,4.6173,2.9524,1.5818,1.8361,4.6173,15.0402,24.7231,5.9002,6.9584,18.8229,-0.9221,-1.1216,0.4927,-0.9575,-1.5174,-1.9153,-1.3705,-0.9811,-1.3262,-0.2224,-1.5177,1.4296,1.3764
Abkhaz 2,Eurasia,NWC,NWC.NORTHWEST_CAUCASIAN,4.4375,10.9615,43.4762,5.2013,3.4725,1.6922,2.1274,5.2013,15.0402,24.7231,5.9002,6.9584,18.8229,0.6459,0.7817,0.8953,1.0134,0.7996,-0.4240,1.1254,0.9719,-1.3262,-0.2224,-1.5177,1.4296,1.3764
Abnaki Eastern,NorthAmerica,Alg,Alg.ALGONQUIAN,5.4429,9.7762,35.6987,4.647,3.131,1.6537,1.9422,4.8006,6.3771,19.5324,-8.2682,9.8951,27.8005,1.8009,-0.7245,-0.7676,-0.8643,-0.7556,-0.9786,-0.4603,-0.4008,-1.9075,-1.2208,-1.9508,1.7157,1.7317
Abnaki Western,NorthAmerica,Alg,Alg.ALGONQUIAN,5.2821,10.2572,38.4592,4.6925,3.1454,1.6541,1.9637,4.778,5.9326,19.2883,-8.6807,10.0274,27.9690,1.6302,-0.1330,-0.1647,-0.7200,-0.6926,-0.9730,-0.2761,-0.4740,-1.9224,-1.2600,-1.9557,1.7261,1.7372
Abom,Pacific,Ani,Ani.ABOM,4.6667,9.4802,36.5378,4.3868,3.0406,1.649,1.8854,4.3868,26.0339,27.6525,24.3959,1.2392,3.2566,0.9291,-1.0750,-0.5827,-1.6558,-1.1457,-1.0437,-0.9474,-1.6693,0.7990,0.4886,0.8094,-0.2859,-0.2297
Abron,Africa,NC,NC.TANO,4.0714,11.1881,44.525,5.0867,3.4894,1.7058,2.1691,5.0867,25.7623,28.2769,23.6127,1.6225,4.6642,0.1641,1.0883,1.1115,0.6036,0.8799,-0.2188,1.4819,0.5646,0.7185,0.6545,0.6400,0.0205,0.1002
Abron 2,Africa,NC,NC.TANO,4.4714,10.0979,37.6118,4.7846,3.1699,1.6914,1.9524,4.7846,25.4814,27.6375,23.4792,1.4994,4.1582,0.6886,-0.3319,-0.3482,-0.4226,-0.5849,-0.4360,-0.3729,-0.4526,0.6370,0.4847,0.6119,-0.0676,-0.0052
Abu,Pacific,RLS,RLS.AGOAN,4.7714,10.2198,39.4126,4.9193,3.3187,1.789,1.9509,4.9193,26.4643,26.7449,26.1173,0.4460,0.6276,1.0542,-0.1800,0.0402,0.0253,0.0833,1.1477,-0.3858,-0.0091,0.9301,0.2565,1.2120,-1.6015,-1.7486
Abu 2,Pacific,Tor,Tor.KOMBIO-ARAPESH,5.3158,9.6508,31.1911,4.9248,3.2861,1.712,1.9964,4.9248,23.7739,24.0547,23.4131,0.3938,0.6415,1.6663,-0.8742,-1.7870,0.0439,-0.0652,-0.1237,0.0041,0.0093,0.1798,-0.3693,0.5981,-1.7800,-1.7284
Abu Arapesh,Pacific,Tor,Tor.KOMBIO-ARAPESH,4.2027,9.9011,38.6038,4.7459,3.1944,1.6648,1.9638,4.7459,25.7313,26.6482,24.6415,0.8871,2.0066,0.3413,-0.5735,-0.1335,-0.5485,-0.4766,-0.8226,-0.2752,-0.5771,0.7094,0.2324,0.8643,-0.6884,-0.6752
Abua,Africa,NC,NC.CENTRAL_DELTA,4.2667,10.9007,38.7392,5.2883,3.4483,1.8,2.055,5.2883,25.6390,26.7554,24.3639,0.9453,2.3915,0.4259,0.7005,-0.1043,1.3322,0.6852,1.3434,0.5059,1.2891,0.6825,0.2591,0.8023,-0.6099,-0.5137
Abui,Pacific,GWB,GWB.ALOR-PANTAR,4.2973,10.776,41.1986,5.0827,3.4341,1.7511,2.0662,5.0827,25.9607,27.2174,24.9993,0.8293,2.2181,0.4659,0.5352,0.4195,0.5895,0.6183,0.5009,0.6018,0.5506,0.7771,0.3760,0.9457,-0.7728,-0.5830
Abui Atimelang,Pacific,GWB,GWB.ALOR-PANTAR,4.8125,10.7014,41.5835,5.0677,3.3987,1.7842,2.0,5.0677,25.9607,27.2174,24.9993,0.8293,2.2181,1.1026,0.4372,0.5005,0.5368,0.4527,1.0635,0.0350,0.4982,0.7771,0.3760,0.9457,-0.7728,-0.5830
Abui Makadai,Pacific,GWB,GWB.ALOR-PANTAR,4.7188,10.7085,42.757,5.031,3.4264,1.7655,2.0325,5.031,25.9607,27.2174,24.9993,0.8293,2.2181,0.9917,0.4465,0.7459,0.4085,0.5822,0.7418,0.3133,0.3709,0.7771,0.3760,0.9457,-0.7728,-0.5830
Abui Takalelang,Pacific,GWB,GWB.ALOR-PANTAR,4.7949,11.0745,40.3451,5.1935,3.5379,1.7569,2.1091,5.1935,25.9607,27.2174,24.9993,0.8293,2.2181,1.0819,0.9339,0.2389,0.9852,1.1120,0.5972,0.9688,0.9438,0.7771,0.3760,0.9457,-0.7728,-0.5830
Abujhmaria,Eurasia,Dra,Dra.DRAVIDIAN,3.8009,9.876,39.0035,4.6704,3.1414,1.7248,1.8566,4.6704,23.8809,30.7669,18.5928,3.8254,12.1741,-0.2184,-0.6040,-0.0475,-0.7903,-0.7101,0.0762,-1.1946,-0.8161,0.2066,1.3681,-0.2654,0.8974,0.9787
Abul,Africa,Krd,Krd.HEIBAN,3.8875,10.728,37.1808,4.9249,3.3359,1.7945,1.9329,4.9302,25.8244,30.2638,23.2790,2.4824,6.9848,-0.0933,0.4720,-0.4420,0.0442,0.1621,1.2451,-0.5401,0.0275,0.7367,1.2172,0.5702,0.4732,0.4705
Abun,Pacific,Abu,Abu.ABUN,2.931,9.8704,35.9575,4.5345,3.0391,1.6701,1.8638,4.5517,22.7922,23.1882,22.4885,0.3888,0.6997,-1.6469,-0.6108,-0.7104,-1.2134,-1.1520,-0.7471,-1.1328,-1.1817,-0.0552,-0.5515,0.4109,-1.7986,-1.6481
Abung Sukadana Lampung Nyo,Pacific,An,An.LAMPUNGIC,4.6818,10.0473,35.9525,4.9228,3.332,1.7214,2.0288,4.9228,26.5774,27.1767,25.9511,0.6161,1.2256,0.9473,-0.3944,-0.7115,0.0371,0.1442,0.0226,0.2816,0.0026,0.9653,0.3656,1.1712,-1.1577,-1.1299
Abure 3,Africa,NC,NC.TANO,3.9571,11.8285,44.2897,5.5148,3.7462,1.8273,2.212,5.5148,25.7908,27.0457,23.7175,1.2175,3.3282,0.0054,1.9870,1.0632,2.1930,2.1378,1.8446,1.8485,2.1474,0.7268,0.3322,0.6622,-0.3065,-0.2097
Acateco San Miguel Acatan,NorthAmerica,May,May.MAYAN,3.359,8.8952,35.0429,4.2471,2.9181,1.5745,1.8698,4.2471,15.2936,16.9517,13.4463,1.2371,3.5053,-0.9011,-1.7376,-0.9131,-2.0574,-1.6596,-2.0035,-1.0813,-2.0640,-1.2983,-1.6006,-0.9212,-0.2879,-0.1620
Aceh,Pacific,An,An.MALAYO-SUMBAWAN,4.5541,10.5476,39.3631,4.8844,3.3487,1.7345,2.024,4.8844,25.9534,26.6909,25.2611,0.5997,1.4297,0.7916,0.2372,0.0296,-0.0923,0.2210,0.2306,0.2405,-0.1256,0.7749,0.2430,1.0065,-1.1936,-0.9877
Achagua,SouthAmerica,Arw,Arw.JAPURA-COLOMBIA,4.8472,11.6768,45.1695,5.4027,3.6856,1.7707,2.2243,5.4027,26.4495,27.9958,25.2158,1.0782,2.7800,1.1432,1.7698,1.2436,1.7614,1.8346,0.8302,1.9536,1.7167,0.9255,0.5792,0.9959,-0.4504,-0.3752
Achang,Eurasia,ST,ST.BURMESE-LOLO,3.6282,9.5843,36.3709,4.738,3.0808,1.6385,1.9496,4.738,15.8465,19.7421,9.5791,3.7766,10.1630,-0.4760,-0.9529,-0.6194,-0.5740,-0.9733,-1.1871,-0.3969,-0.6023,-1.2348,-1.1867,-1.2722,0.8853,0.8137
Ache,SouthAmerica,Tup,Tup.MAWETI-GUARANI,4.2375,10.4937,45.5435,4.867,3.4293,1.6813,2.1205,4.867,22.3709,27.1051,16.6796,3.9459,10.4255,0.3875,0.1677,1.3199,-0.1505,0.5958,-0.5850,1.0663,-0.1833,-0.1502,0.3473,-0.5377,0.9265,0.8370
Acholi,Africa,ESu,ESu.WESTERN_NILOTIC,3.3375,10.1152,36.4485,4.775,3.2096,1.7515,1.9077,4.775,24.9516,27.7396,22.7531,1.9160,4.9865,-0.9364,-0.3104,-0.6023,-0.4540,-0.4090,0.5076,-0.7562,-0.4836,0.4883,0.5114,0.4633,0.2019,0.1615
