Genus,Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
AA.LOWLAND_EAST_CUSHITIC,AA,4.2028,10.3259,41.0011,4.7816,3.2606,1.6798,1.9817,24.3652,26.8806,22.1447,1.6692,4.7359,mean,-0.0299,-0.0220,0.3264,-0.4251,-0.2102,-0.5667,-0.1625,0.2772,0.2888,0.2734,0.1164,0.1865
AA.LOWLAND_EAST_CUSHITIC,AA,4.1623,10.4350,42.1959,4.8371,3.3007,1.6864,1.9939,25.3485,27.4830,21.8550,1.6165,4.5646,median,-0.0880,0.1230,0.6003,-0.2245,-0.0147,-0.4704,-0.0529,0.5390,0.4539,0.2183,0.0820,0.1533
AA.MASA,AA,4.0785,9.9739,37.8244,4.7480,3.1769,1.6638,1.9679,27.7193,32.0176,24.8296,2.4730,7.1880,mean,-0.2100,-0.4792,-0.4101,-0.5451,-0.6116,-0.7964,-0.2865,1.2597,1.9186,0.8357,0.5254,0.5643
AA.MASA,AA,3.8742,9.8100,36.0825,4.6901,3.1475,1.6522,1.9590,27.7642,32.0663,24.8485,2.4624,7.2178,median,-0.5181,-0.6867,-0.8195,-0.7499,-0.7503,-0.9611,-0.3658,1.2746,1.9365,0.8400,0.5211,0.5681
AA.ONGOTA,AA,4.4696,10.7280,47.0779,4.9122,3.3295,1.6623,2.0812,21.3981,23.9445,19.2224,1.6668,4.7220,mean,0.3395,0.5200,1.7030,0.0508,0.1276,-0.8175,0.7320,-0.3943,-0.4247,-0.2367,0.1149,0.1839
AA.ONGOTA,AA,4.4696,10.7280,47.0779,4.9122,3.3295,1.6623,2.0812,21.3981,23.9445,19.2224,1.6668,4.7220,median,0.3395,0.5200,1.7030,0.0508,0.1276,-0.8175,0.7320,-0.3943,-0.4247,-0.2367,0.1149,0.1839
AA.SEMITIC,AA,4.2935,9.7153,36.7317,4.6870,3.0561,1.6691,1.8595,20.1920,27.8551,12.3329,5.6125,15.5222,mean,0.0982,-0.8050,-0.6664,-0.7606,-1.1742,-0.7207,-1.2543,-0.6212,0.5592,-1.0955,1.2999,1.2701
AA.SEMITIC,AA,4.3188,9.7017,36.0491,4.6894,3.0522,1.6683,1.8384,19.6820,27.4962,12.9756,5.2697,14.4039,median,0.1334,-0.8219,-0.8274,-0.7522,-1.1918,-0.7328,-1.4422,-0.7098,0.4576,-1.0327,1.2439,1.2010
AA.SOUTHERN_CUSHITIC,AA,4.7832,10.4776,42.3382,4.9143,3.2956,1.6959,1.9997,20.2499,22.1311,17.6260,1.6409,4.5051,mean,0.7467,0.1801,0.6328,0.0586,-0.0394,-0.3293,-0.0008,-0.6109,-0.7938,-0.4754,0.0981,0.1415
AA.SOUTHERN_CUSHITIC,AA,4.6085,10.6750,42.7577,4.9998,3.3247,1.7027,1.9958,20.3413,22.3893,17.6590,1.6379,4.4674,median,0.5232,0.4474,0.7285,0.3785,0.1038,-0.2281,-0.0354,-0.5944,-0.7444,-0.4707,0.0961,0.1339
AA.SOUTH_OMOTIC,AA,3.9800,10.4584,41.9874,4.8840,3.3124,1.6912,2.0375,23.3992,25.9301,21.4495,1.6682,4.4805,mean,-0.3565,0.1544,0.5526,-0.0532,0.0433,-0.3996,0.3386,0.0398,0.0415,0.1429,0.1158,0.1365
AA.SOUTH_OMOTIC,AA,3.8975,10.5337,42.1473,4.8993,3.3136,1.6923,2.0317,24.4751,27.0084,22.5747,1.6666,4.4337,median,-0.4821,0.2556,0.5892,0.0030,0.0488,-0.3833,0.2871,0.3055,0.3233,0.3570,0.1148,0.1271
AA.TA-NE-OMOTIC,AA,4.1550,10.1587,41.0510,4.8328,3.2350,1.6678,2.0019,19.4473,22.0933,17.3562,1.6627,4.7371,mean,-0.0985,-0.2411,0.3379,-0.2402,-0.3342,-0.7403,0.0187,-0.7491,-0.8010,-0.5132,0.1123,0.1867
AA.TA-NE-OMOTIC,AA,4.1538,10.2304,41.1184,4.8660,3.2603,1.6669,2.0225,20.1747,22.7358,18.0930,1.6209,4.6776,median,-0.1002,-0.1476,0.3534,-0.1193,-0.2120,-0.7528,0.2035,-0.6243,-0.6765,-0.4083,0.0849,0.1753
AA.WEST_CHADIC,AA,4.0355,10.1181,37.6160,4.8690,3.2368,1.7141,1.9504,25.5456,29.1752,22.6334,2.2650,6.5418,mean,-0.2735,-0.2938,-0.4589,-0.1084,-0.3255,-0.0555,-0.4432,0.5940,0.9537,0.3687,0.4362,0.4787
