Genus,Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
CK.NORTHERN_CHUKOTKO-KAMCHATKAN,CK,6.6103,9.3115,30.5271,4.8807,3.1817,1.7796,1.8375,-6.2902,10.0966,-21.1962,11.6098,31.2928,mean,2.6947,-1.2964,-2.1544,-0.0653,-0.5890,0.9928,-1.4502,-2.0436,-2.1230,-2.0385,1.9070,1.9226
CK.NORTHERN_CHUKOTKO-KAMCHATKAN,CK,6.6707,9.4744,31.2013,4.9630,3.2261,1.7957,1.8524,-6.3177,10.1137,-20.8323,11.7728,31.6738,median,2.7496,-1.1007,-1.9898,0.2398,-0.3770,1.2661,-1.3176,-2.0436,-2.1222,-2.0381,1.9179,1.9339
CK.SOUTHERN_CHUKOTKO-KAMCHATKAN,CK,4.9823,8.4106,28.3828,4.3473,2.7878,1.6231,1.6907,-0.3920,13.0463,-12.5490,9.3408,25.5953,mean,0.9918,-2.3171,-2.6830,-1.9006,-2.3494,-1.3585,-2.7502,-2.0237,-1.9487,-2.0151,1.7327,1.7346
CK.SOUTHERN_CHUKOTKO-KAMCHATKAN,CK,4.9211,8.4750,28.6160,4.4029,2.8194,1.6335,1.6957,-0.4239,13.0549,-12.5540,9.3530,25.6088,median,0.9175,-2.2475,-2.6251,-1.7209,-2.2161,-1.2182,-2.7058,-2.0239,-1.9481,-2.0151,1.7337,1.7351
CN.CACUA-NUKAK,CN,3.8891,9.3118,33.9795,4.4404,3.0353,1.6037,1.9230,25.0520,25.5652,24.2628,0.6253,1.3024,mean,-0.4950,-1.2960,-1.3193,-1.5982,-1.2688,-1.6141,-0.6876,0.4579,-0.0492,0.7089,-1.0245,-0.9622
CN.CACUA-NUKAK,CN,3.9945,9.2832,33.4453,4.4441,3.0222,1.6099,1.9157,25.0398,25.5476,24.2778,0.6250,1.2997,median,-0.3346,-1.3300,-1.4473,-1.5860,-1.3279,-1.5328,-0.7531,0.4546,-0.0536,0.7122,-1.0251,-0.9640
CSu.BIRRI,CSu,3.2315,11.6951,47.1535,5.4454,3.6765,1.8127,2.1863,25.0907,27.2090,23.7040,1.5902,3.5050,mean,-1.6036,1.9089,1.7199,2.1510,1.9301,1.5594,1.6826,0.4683,0.3780,0.5882,0.0642,-0.0841
CSu.BIRRI,CSu,3.2315,11.6951,47.1535,5.4454,3.6765,1.8127,2.1863,25.0907,27.2090,23.7040,1.5902,3.5050,median,-1.6036,1.9089,1.7199,2.1510,1.9301,1.5594,1.6826,0.4683,0.3780,0.5882,0.0642,-0.0841
CSu.BONGO-BAGIRMI,CSu,3.7968,10.5227,40.3978,4.8477,3.2918,1.7102,1.9992,27.4705,31.4300,24.6129,2.4607,6.8170,mean,-0.6389,0.2408,0.1875,-0.1862,-0.0580,-0.1150,-0.0049,1.1778,1.7058,0.7867,0.5204,0.5162
CSu.BONGO-BAGIRMI,CSu,3.7368,10.5475,40.3714,4.8586,3.3088,1.7149,2.0031,27.5340,31.3151,24.7926,2.4986,6.8463,median,-0.7343,0.2742,0.1814,-0.1463,0.0254,-0.0431,0.0297,1.1986,1.6650,0.8272,0.5358,0.5201
CSu.KRESH,CSu,3.9338,10.6620,41.1228,4.9004,3.3486,1.7185,2.0392,25.5869,29.3193,23.3286,2.2147,5.9907,mean,-0.4265,0.4297,0.3544,0.0071,0.2223,0.0116,0.3541,0.6056,0.9988,0.5095,0.4132,0.3989
CSu.KRESH,CSu,4.1176,10.6640,41.5664,4.8743,3.3342,1.7154,2.0372,25.2267,28.5421,23.1383,2.1252,5.8184,median,-0.1527,0.4324,0.4562,-0.0888,0.1509,-0.0355,0.3362,0.5054,0.7604,0.4703,0.3708,0.3725
CSu.LENDU,CSu,2.7690,9.8458,38.6949,4.6862,3.1497,1.6272,1.9829,20.7676,22.4148,19.8927,1.0966,2.5221,mean,-2.5260,-0.6417,-0.2070,-0.7633,-0.7403,-1.3036,-0.1519,-0.5160,-0.7395,-0.1284,-0.3499,-0.3780
CSu.LENDU,CSu,2.7371,9.8486,37.7426,4.6524,3.1195,1.6277,1.9516,21.3849,23.0100,20.5187,1.0918,2.4914,median,-2.5949,-0.6380,-0.4292,-0.8815,-0.8815,-1.2967,-0.4316,-0.3970,-0.6214,-0.0227,-0.3550,-0.3889
CSu.MANGBETU,CSu,4.7246,11.2331,43.4947,5.1319,3.5354,1.7770,2.1354,23.2658,24.2008,22.7966,0.7633,1.4041,mean,0.6727,1.2304,0.8962,0.8854,1.1770,0.9500,1.2214,0.0085,-0.3683,0.4012,-0.7780,-0.8961
CSu.MANGBETU,CSu,4.7607,11.0658,42.8753,5.0732,3.5003,1.7773,2.1538,23.2517,24.2701,22.7778,0.8119,1.4592,median,0.7184,0.9914,0.7553,0.6583,0.9938,0.9543,1.3882,0.0052,-0.3528,0.3974,-0.7033,-0.8623
CSu.MANGBUTU-EFE,CSu,3.9953,10.9623,40.5983,5.0594,3.5098,1.7095,2.1609,21.8729,23.3563,21.0078,1.0515,2.3486,mean,-0.3335,0.8454,0.2337,0.6053,1.0433,-0.1249,1.4524,-0.2981,-0.5502,0.0630,-0.3983,-0.4414
CSu.MANGBUTU-EFE,CSu,3.9781,11.0903,42.3070,5.0575,3.5356,1.7080,2.1820,22.0255,23.7610,21.1648,1.0544,2.3906,median,-0.3594,1.0261,0.6257,0.5979,1.1782,-0.1489,1.6432,-0.2663,-0.4645,0.0911,-0.3952,-0.4256
CSu.MORU-MADI,CSu,3.2882,11.0539,41.0461,5.0531,3.4750,1.7248,2.1014,24.4804,27.2884,22.6103,1.9096,4.6781,mean,-1.4996,0.9745,0.3368,0.5811,0.8630,0.1100,0.9148,0.3068,0.3999,0.3641,0.2594,0.1754
CSu.MORU-MADI,CSu,3.3125,11.1839,41.3207,5.1041,3.5044,1.7339,2.1151,24.5034,27.5260,22.4796,1.9094,4.6790,median,-1.4555,1.1598,0.3998,0.7775,1.0154,0.2515,1.0388,0.3128,0.4659,0.3383,0.2592,0.1756
CW.CHAPACURA-WANHAM,CW,4.9338,9.8158,37.4346,4.7077,3.2309,1.6916,1.9722,26.2602,28.4076,25.0584,1.4482,3.3492,mean,0.9330,-0.6794,-0.5014,-0.6880,-0.3540,-0.3937,-0.2477,0.8006,0.7204,0.8881,-0.0377,-0.1248
CW.CHAPACURA-WANHAM,CW,4.9615,9.8445,37.5185,4.6721,3.2135,1.6817,1.9786,26.1266,28.4164,24.9336,1.5538,3.5899,median,0.9667,-0.6432,-0.4817,-0.8129,-0.4372,-0.5392,-0.1901,0.7611,0.7230,0.8594,0.0391,-0.0626
Cad.CADDO,Cad,5.0750,8.5909,31.2900,4.2046,2.8064,1.5064,1.8420,17.8507,28.5849,6.1680,8.1267,22.4169,mean,1.1026,-2.1211,-1.9682,-2.3497,-2.2710,-2.7888,-1.4102,-0.9946,0.7733,-1.5553,1.6178,1.6110
Cad.CADDO,Cad,5.0750,8.5909,31.2900,4.2046,2.8064,1.5064,1.8420,17.8507,28.5849,6.1680,8.1267,22.4169,median,1.1026,-2.1211,-1.9682,-2.3497,-2.2710,-2.7888,-1.4102,-0.9946,0.7733,-1.5553,1.6178,1.6110
Cad.NORTHERN_CADDOAN,Cad,5.3782,8.6603,34.1171,4.3122,2.9203,1.5318,1.8815,14.0488,26.9647,1.0342,9.3607,25.9305,mean,1.4516,-2.0446,-1.2864,-2.0127,-1.7815,-2.4993,-1.0587,-1.4396,0.3114,-1.7846,1.7344,1.7467
Cad.NORTHERN_CADDOAN,Cad,5.6409,8.6327,34.2651,4.2915,2.9459,1.5299,1.8908,14.2612,27.0719,1.3778,9.2953,25.6941,median,1.7388,-2.0751,-1.2511,-2.0782,-1.6690,-2.5214,-0.9750,-1.4193,0.3405,-1.7726,1.7287,1.7382
Cah.CAHUAPANAN,Cah,5.1621,9.3860,35.7201,4.7011,3.1810,1.7149,1.9135,23.9692,25.2005,23.0502,1.1530,2.1503,mean,1.2050,-1.2073,-0.9052,-0.7111,-0.5922,-0.0423,-0.7723,0.1776,-0.1376,0.4524,-0.2926,-0.5197
Cah.CAHUAPANAN,Cah,5.1621,9.3860,35.7201,4.7011,3.1810,1.7149,1.9135,23.9692,25.2005,23.0502,1.1530,2.1503,median,1.2050,-1.2073,-0.9052,-0.7111,-0.5922,-0.0423,-0.7723,0.1776,-0.1376,0.4524,-0.2926,-0.5197
Cam.CAMSA,Cam,5.5875,9.9842,40.3297,4.7054,3.1502,1.6390,1.9987,10.1072,10.6207,8.9727,0.7544,1.6480,mean,1.6815,-0.4660,0.1718,-0.6959,-0.7379,-1.1431,-0.0098,-1.7346,-2.0977,-1.3755,-0.7923,-0.7551
Cam.CAMSA,Cam,5.5875,9.9842,40.3297,4.7054,3.1502,1.6390,1.9987,10.1072,10.6207,8.9727,0.7544,1.6480,median,1.6815,-0.4660,0.1718,-0.6959,-0.7379,-1.1431,-0.0098,-1.7346,-2.0977,-1.3755,-0.7923,-0.7551
Can.CANICHANA,Can,5.1782,9.8557,39.0240,4.7416,3.1658,1.6289,1.9798,26.3434,28.6198,23.8679,1.8100,4.7519,mean,1.2237,-0.6292,-0.1305,-0.5679,-0.6644,-1.2805,-0.1794,0.8255,0.7837,0.6232,0.2028,0.1895
Can.CANICHANA,Can,5.1782,9.8557,39.0240,4.7416,3.1658,1.6289,1.9798,26.3434,28.6198,23.8679,1.8100,4.7519,median,1.2237,-0.6292,-0.1305,-0.5679,-0.6644,-1.2805,-0.1794,0.8255,0.7837,0.6232,0.2028,0.1895
Car.CARIBAN,Car,4.6432,10.8939,43.8645,5.2082,3.5367,1.7734,2.1201,24.5048,26.0411,23.4400,1.2328,2.6011,mean,0.5682,0.7497,0.9801,1.1855,1.1838,0.8900,1.0838,0.3131,0.0695,0.5327,-0.2168,-0.3505
Car.CARIBAN,Car,4.5885,10.9580,44.0495,5.2360,3.5613,1.7834,2.1268,25.4253,26.9140,24.4392,1.2030,2.4655,median,0.4971,0.8393,1.0220,1.2958,1.3131,1.0574,1.1436,0.5603,0.2978,0.7479,-0.2444,-0.3982
Cay.CAYUVAVA,Cay,4.4615,11.3457,47.8953,5.1568,3.5420,1.7470,2.1334,26.7699,29.3872,25.0628,1.6600,4.3244,mean,0.3285,1.3932,1.8852,0.9828,1.2115,0.4592,1.2037,0.9552,1.0202,0.8891,0.1105,0.1046
Cay.CAYUVAVA,Cay,4.4615,11.3457,47.8953,5.1568,3.5420,1.7470,2.1334,26.7699,29.3872,25.0628,1.6600,4.3244,median,0.3285,1.3932,1.8852,0.9828,1.2115,0.4592,1.2037,0.9552,1.0202,0.8891,0.1105,0.1046
Cha.CHARRUAN,Cha,4.8529,10.8285,42.2912,4.9830,3.4352,1.7416,2.0738,17.0708,24.1289,10.1712,4.8790,13.9577,mean,0.8336,0.6587,0.6221,0.3152,0.6589,0.3731,0.6657,-1.1010,-0.3842,-1.2844,1.1746,1.1720
Cha.CHARRUAN,Cha,4.8529,10.8285,42.2912,4.9830,3.4352,1.7416,2.0738,17.0708,24.1289,10.1712,4.8790,13.9577,median,0.8336,0.6587,0.6221,0.3152,0.6589,0.3731,0.6657,-1.1010,-0.3842,-1.2844,1.1746,1.1720
Chi.ARHUACIC,Chi,4.8142,9.8470,37.2923,4.7350,3.2249,1.6779,2.0039,15.2699,15.9930,14.2699,0.8532,1.7231,mean,0.7855,-0.6401,-0.5347,-0.5914,-0.3826,-0.5949,0.0369,-1.3161,-1.6871,-0.8965,-0.6439,-0.7158
Chi.ARHUACIC,Chi,5.0641,9.7641,35.4253,4.7629,3.2108,1.6625,2.0005,16.3991,17.2395,15.2202,0.8292,1.8209,median,1.0897,-0.7441,-0.9750,-0.4921,-0.4504,-0.8154,0.0064,-1.1861,-1.5463,-0.7876,-0.6780,-0.6669
Chi.BARI,Chi,4.2587,10.2796,42.4000,4.7671,3.3309,1.6433,2.1000,27.5909,28.6146,26.5149,1.1562,2.0998,mean,0.0494,-0.0830,0.6469,-0.4770,0.1347,-1.0840,0.9017,1.2172,0.7822,1.2398,-0.2894,-0.5408
Chi.BARI,Chi,4.3000,10.3410,42.8034,4.7506,3.3468,1.6457,2.1145,27.7214,28.4800,26.8603,1.1016,2.1815,median,0.1073,-0.0019,0.7389,-0.5359,0.2135,-1.0508,1.0329,1.2604,0.7419,1.3279,-0.3448,-0.5069
Chi.CHIBCHA-DUIT,Chi,4.3974,9.9437,43.1895,4.7986,3.2601,1.5881,2.1147,9.4985,9.9410,9.0989,0.6536,0.8421,mean,0.2417,-0.5177,0.8268,-0.3640,-0.2127,-1.8148,1.0347,-1.7681,-2.1300,-1.3663,-0.9691,-1.3434
Chi.CHIBCHA-DUIT,Chi,4.3974,9.9437,43.1895,4.7986,3.2601,1.5881,2.1147,9.4985,9.9410,9.0989,0.6536,0.8421,median,0.2417,-0.5177,0.8268,-0.3640,-0.2127,-1.8148,1.0347,-1.7681,-2.1300,-1.3663,-0.9691,-1.3434
Chi.CHIMILA,Chi,5.1667,8.9247,37.5806,4.2383,2.9711,1.6012,1.8718,29.2841,30.7869,27.4569,1.3783,3.3300,mean,1.2103,-1.7474,-0.4672,-2.2453,-1.5573,-1.6469,-1.1448,1.8107,1.4809,1.4844,-0.0922,-0.1299
Chi.CHIMILA,Chi,5.1667,8.9247,37.5806,4.2383,2.9711,1.6012,1.8718,29.2841,30.7869,27.4569,1.3783,3.3300,median,1.2103,-1.7474,-0.4672,-2.2453,-1.5573,-1.6469,-1.1448,1.8107,1.4809,1.4844,-0.0922,-0.1299
Chi.GUAYMIIC,Chi,3.6995,10.4614,40.9281,4.8461,3.3483,1.6962,2.0511,19.6435,20.4054,18.7641,0.6428,1.6413,mean,-0.7944,0.1584,0.3096,-0.1918,0.2211,-0.3259,0.4612,-0.7163,-1.0980,-0.3080,-0.9898,-0.7587
Chi.GUAYMIIC,Chi,3.6034,10.4270,40.3690,4.8882,3.3458,1.7221,2.0460,20.1111,20.8474,19.1472,0.6457,1.6561,median,-0.9519,0.1124,0.1809,-0.0378,0.2085,0.0676,0.4153,-0.6355,-1.0243,-0.2486,-0.9842,-0.7508
Chi.KUNA,Chi,4.4802,10.3805,43.0677,4.7413,3.2997,1.6751,2.0407,23.7922,24.3897,23.2362,0.5869,1.1535,mean,0.3537,0.0505,0.7991,-0.5688,-0.0194,-0.6357,0.3672,0.1341,-0.3260,0.4904,-1.1045,-1.0687
Chi.KUNA,Chi,4.4802,10.3805,43.0677,4.7413,3.2997,1.6751,2.0407,23.7922,24.3897,23.2362,0.5869,1.1535,median,0.3537,0.0505,0.7991,-0.5688,-0.0194,-0.6357,0.3672,0.1341,-0.3260,0.4904,-1.1045,-1.0687
Chi.MALEKU_JAIKA,Chi,5.1667,9.9273,39.6858,4.7253,3.2692,1.6831,2.0015,26.2591,27.5485,25.1625,0.8922,2.3859,mean,1.2103,-0.5385,0.0230,-0.6257,-0.1685,-0.5187,0.0153,0.8003,0.4723,0.9122,-0.5906,-0.4274
Chi.MALEKU_JAIKA,Chi,5.1667,9.9273,39.6858,4.7253,3.2692,1.6831,2.0015,26.2591,27.5485,25.1625,0.8922,2.3859,median,1.2103,-0.5385,0.0230,-0.6257,-0.1685,-0.5187,0.0153,0.8003,0.4723,0.9122,-0.5906,-0.4274
Chi.PECH,Chi,4.0625,11.0004,50.1399,5.1402,3.4970,1.6913,2.1702,23.3986,25.3779,21.3076,1.4461,4.0703,mean,-0.2335,0.8990,2.3823,0.9179,0.9767,-0.3981,1.5367,0.0396,-0.0949,0.1170,-0.0393,0.0501
Chi.PECH,Chi,4.0625,11.0004,50.1399,5.1402,3.4970,1.6913,2.1702,23.3986,25.3779,21.3076,1.4461,4.0703,median,-0.2335,0.8990,2.3823,0.9179,0.9767,-0.3981,1.5367,0.0396,-0.0949,0.1170,-0.0393,0.0501
Chi.RAMA,Chi,4.7875,9.2857,35.1705,4.5587,3.0868,1.6629,1.9050,25.8794,26.7230,24.8514,0.7168,1.8717,mean,0.7521,-1.3271,-1.0355,-1.2030,-1.0331,-0.8097,-0.8487,0.6891,0.2467,0.8406,-0.8549,-0.6426
Chi.RAMA,Chi,4.7875,9.2857,35.1705,4.5587,3.0868,1.6629,1.9050,25.8794,26.7230,24.8514,0.7168,1.8717,median,0.7521,-1.3271,-1.0355,-1.2030,-1.0331,-0.8097,-0.8487,0.6891,0.2467,0.8406,-0.8549,-0.6426
Chi.TUNEBO,Chi,4.7000,11.2294,51.4435,5.1199,3.5444,1.7079,2.1426,10.5366,11.4230,9.7086,0.7965,1.7144,mean,0.6413,1.2250,2.6688,0.8388,1.2241,-0.1497,1.2869,-1.7093,-2.0544,-1.3206,-0.7265,-0.7202
Chi.TUNEBO,Chi,4.7000,11.2294,51.4435,5.1199,3.5444,1.7079,2.1426,10.5366,11.4230,9.7086,0.7965,1.7144,median,0.6413,1.2250,2.6688,0.8388,1.2241,-0.1497,1.2869,-1.7093,-2.0544,-1.3206,-0.7265,-0.7202
Chi.WESTERN_ISTHMIC_CHIBCHAN,Chi,4.0612,9.6100,38.4484,4.5087,3.1117,1.6096,1.9461,21.3370,22.1710,20.4579,0.6817,1.7131,mean,-0.2355,-0.9351,-0.2645,-1.3716,-0.9176,-1.5374,-0.4814,-0.4064,-0.7862,-0.0332,-0.9168,-0.7209
Chi.WESTERN_ISTHMIC_CHIBCHAN,Chi,4.0541,9.8551,38.8915,4.5845,3.1709,1.6134,1.9620,21.5245,22.3563,20.5006,0.6559,1.6561,median,-0.2459,-0.6299,-0.1613,-1.1152,-0.6402,-1.4874,-0.3389,-0.3691,-0.7508,-0.0258,-0.9647,-0.7508
Chk.CHIMAKUAN,Chk,5.3175,9.1153,34.7287,4.4597,3.0578,1.6044,1.8811,7.6333,14.7305,2.0989,4.7055,12.6316,mean,1.3834,-1.5276,-1.1405,-1.5345,-1.1665,-1.6047,-1.0619,-1.8542,-1.8109,-1.7461,1.1418,1.0801
Chk.CHIMAKUAN,Chk,5.3175,9.1153,34.7287,4.4597,3.0578,1.6044,1.8811,7.6333,14.7305,2.0989,4.7055,12.6316,median,1.3834,-1.5276,-1.1405,-1.5345,-1.1665,-1.6047,-1.0619,-1.8542,-1.8109,-1.7461,1.1418,1.0801
Chn.CHONAN_PROPER,Chn,4.5352,10.0940,40.0179,4.8594,3.2123,1.7070,1.9193,7.6572,13.0010,1.8461,4.0388,11.1548,mean,0.4269,-0.3250,0.0998,-0.1432,-0.4432,-0.1633,-0.7209,-1.8533,-1.9520,-1.7556,1.0011,0.9658
Chn.CHONAN_PROPER,Chn,4.5352,10.0940,40.0179,4.8594,3.2123,1.7070,1.9193,7.6572,13.0010,1.8461,4.0388,11.1548,median,0.4269,-0.3250,0.0998,-0.1432,-0.4432,-0.1633,-0.7209,-1.8533,-1.9520,-1.7556,1.0011,0.9658
Chn.PUELCHE,Chn,4.9437,9.2515,37.7077,4.5826,3.1238,1.6290,1.9386,10.0171,18.2602,2.1046,5.7028,16.1556,mean,0.9451,-1.3677,-0.4374,-1.1216,-0.8615,-1.2785,-0.5484,-1.7398,-1.4164,-1.7459,1.3140,1.3070
Chn.PUELCHE,Chn,4.9437,9.2515,37.7077,4.5826,3.1238,1.6290,1.9386,10.0171,18.2602,2.1046,5.7028,16.1556,median,0.9451,-1.3677,-0.4374,-1.1216,-0.8615,-1.2785,-0.5484,-1.7398,-1.4164,-1.7459,1.3140,1.3070
Cho.CHOCO,Cho,4.2625,10.5751,43.1443,4.9450,3.4273,1.6930,2.1006,22.2948,22.7123,21.6906,0.6453,1.0217,mean,0.0548,0.3115,0.8165,0.1729,0.6187,-0.3733,0.9073,-0.2091,-0.6812,0.1875,-0.9849,-1.1749
Cho.CHOCO,Cho,4.1143,10.7337,43.1363,4.9913,3.4531,1.7000,2.1148,25.4669,25.8940,24.9081,0.6177,0.9859,median,-0.1575,0.5279,0.8147,0.3464,0.7504,-0.2686,1.0356,0.5719,0.0324,0.8536,-1.0397,-1.2060
Chq.CHIQUITANO,Chq,3.8846,10.3059,43.6799,4.8984,3.4185,1.6710,2.1509,25.5116,27.8712,22.5331,2.0718,5.3381,mean,-0.5019,-0.0483,0.9382,-0.0002,0.5739,-0.6941,1.3620,0.5844,0.5638,0.3488,0.3444,0.2946
Chq.CHIQUITANO,Chq,3.8846,10.3059,43.6799,4.8984,3.4185,1.6710,2.1509,25.5116,27.8712,22.5331,2.0718,5.3381,median,-0.5019,-0.0483,0.9382,-0.0002,0.5739,-0.6941,1.3620,0.5844,0.5638,0.3488,0.3444,0.2946
Cht.CHITIMACHA,Cht,3.5163,9.0044,32.6645,4.5594,2.9829,1.5874,1.9163,20.8418,28.1691,12.0666,5.9050,16.1025,mean,-1.0984,-1.6560,-1.6352,-1.2006,-1.5045,-1.8243,-0.7473,-0.5021,0.6501,-1.1205,1.3447,1.3040
Cht.CHITIMACHA,Cht,3.5163,9.0044,32.6645,4.5594,2.9829,1.5874,1.9163,20.8418,28.1691,12.0666,5.9050,16.1025,median,-1.0984,-1.6560,-1.6352,-1.2006,-1.5045,-1.8243,-0.7473,-0.5021,0.6501,-1.1205,1.3447,1.3040
Chu.CHUMASH,Chu,4.4219,8.9258,34.5508,4.4742,3.0196,1.6030,1.9035,16.7932,21.4344,13.1519,3.3848,8.2826,mean,0.2750,-1.7461,-1.1829,-1.4867,-1.3401,-1.6237,-0.8618,-1.1369,-0.9220,-1.0150,0.8340,0.6934
Chu.CHUMASH,Chu,4.2005,8.8788,34.3816,4.4530,3.0080,1.6054,1.8920,15.9269,20.8590,12.8072,3.5521,8.7339,median,-0.0331,-1.7996,-1.2233,-1.5566,-1.3922,-1.5929,-0.9643,-1.2424,-1.0223,-1.0495,0.8801,0.7419
Cnd.CANDOSHI,Cnd,4.8889,10.0130,39.4879,4.8436,3.2101,1.6751,1.9829,26.1512,27.0366,25.2180,1.0061,1.8186,mean,0.8780,-0.4292,-0.0229,-0.2011,-0.4537,-0.6350,-0.1516,0.7684,0.3309,0.9251,-0.4495,-0.6681
Cnd.CANDOSHI,Cnd,4.8889,10.0130,39.4879,4.8436,3.2101,1.6751,1.9829,26.1512,27.0366,25.2180,1.0061,1.8186,median,0.8780,-0.4292,-0.0229,-0.2011,-0.4537,-0.6350,-0.1516,0.7684,0.3309,0.9251,-0.4495,-0.6681
Coa.COAHUILTECAN,Coa,4.3750,9.3962,37.6333,4.6117,2.9900,1.6658,1.8258,22.5644,30.0902,12.9980,6.2628,17.0922,mean,0.2110,-1.1950,-0.4548,-1.0220,-1.4730,-0.7685,-1.5542,-0.1505,1.2468,-1.0305,1.3960,1.3592
Coa.COAHUILTECAN,Coa,4.3750,9.3962,37.6333,4.6117,2.9900,1.6658,1.8258,22.5644,30.0902,12.9980,6.2628,17.0922,median,0.2110,-1.1950,-0.4548,-1.0220,-1.4730,-0.7685,-1.5542,-0.1505,1.2468,-1.0305,1.3960,1.3592
Cof.COFAN,Cof,4.9444,9.4936,39.7780,4.5004,3.1492,1.5773,2.0426,24.8188,25.4006,23.5642,0.8905,1.8364,mean,0.9459,-1.0774,0.0443,-1.3992,-0.7426,-1.9508,0.3847,0.3954,-0.0894,0.5587,-0.5928,-0.6595
Cof.COFAN,Cof,4.9444,9.4936,39.7780,4.5004,3.1492,1.5773,2.0426,24.8188,25.4006,23.5642,0.8905,1.8364,median,0.9459,-1.0774,0.0443,-1.3992,-0.7426,-1.9508,0.3847,0.3954,-0.0894,0.5587,-0.5928,-0.6595
Cui.CUITLATEC,Cui,4.8289,10.0874,37.3294,4.9922,3.4435,1.7109,2.0779,23.3289,24.5235,22.3721,0.7789,2.1514,mean,0.8038,-0.3335,-0.5260,0.3498,0.7012,-0.1041,0.7027,0.0232,-0.2956,0.3173,-0.7535,-0.5192
Cui.CUITLATEC,Cui,4.8289,10.0874,37.3294,4.9922,3.4435,1.7109,2.0779,23.3289,24.5235,22.3721,0.7789,2.1514,median,0.8038,-0.3335,-0.5260,0.3498,0.7012,-0.1041,0.7027,0.0232,-0.2956,0.3173,-0.7535,-0.5192
DB.BOGAYA,DB,4.6842,10.6411,38.2257,5.3437,3.5508,1.7872,2.1354,24.7799,25.3668,24.0053,0.6001,1.3615,mean,0.6210,0.4011,-0.3164,1.7309,1.2577,1.1206,1.2218,0.3851,-0.0976,0.6528,-1.0763,-0.9232
DB.BOGAYA,DB,4.6842,10.6411,38.2257,5.3437,3.5508,1.7872,2.1354,24.7799,25.3668,24.0053,0.6001,1.3615,median,0.6210,0.4011,-0.3164,1.7309,1.2577,1.1206,1.2218,0.3851,-0.0976,0.6528,-1.0763,-0.9232
DB.DUNA,DB,3.8889,11.1270,44.1364,5.1888,3.5666,1.7764,2.1322,16.0266,16.3398,15.5598,0.4582,0.7800,mean,-0.4953,1.0784,1.0417,1.1087,1.3410,0.9393,1.1929,-1.2307,-1.6498,-0.7468,-1.4246,-1.4100
DB.DUNA,DB,3.8889,11.1270,44.1364,5.1888,3.5666,1.7764,2.1322,16.0266,16.3398,15.5598,0.4582,0.7800,median,-0.4953,1.0784,1.0417,1.1087,1.3410,0.9393,1.1929,-1.2307,-1.6498,-0.7468,-1.4246,-1.4100
DR.LARAGIYA,DR,5.9032,10.9145,42.2375,5.0147,3.4192,1.7977,1.9642,27.3800,29.3719,25.0720,1.6209,4.2999,mean,2.0125,0.7785,0.6098,0.4349,0.5774,1.2995,-0.3192,1.1484,1.0154,0.8913,0.0849,0.0995
DR.LARAGIYA,DR,5.9032,10.9145,42.2375,5.0147,3.4192,1.7977,1.9642,27.3800,29.3719,25.0720,1.6209,4.2999,median,2.0125,0.7785,0.6098,0.4349,0.5774,1.2995,-0.3192,1.1484,1.0154,0.8913,0.0849,0.0995
DR.LIMILNGAN,DR,5.7879,11.1483,37.6592,5.2928,3.5532,1.8698,2.0076,27.2138,29.7012,24.6874,1.8526,5.0139,mean,1.8937,1.1088,-0.4488,1.5240,1.2704,2.5975,0.0701,1.0949,1.1202,0.8034,0.2274,0.2380
DR.LIMILNGAN,DR,5.7879,11.1483,37.6592,5.2928,3.5532,1.8698,2.0076,27.2138,29.7012,24.6874,1.8526,5.0139,median,1.8937,1.1088,-0.4488,1.5240,1.2704,2.5975,0.0701,1.0949,1.1202,0.8034,0.2274,0.2380
Dem.DEM,Dem,4.5441,10.9954,44.5502,5.0760,3.4632,1.7840,2.0592,18.6381,18.9261,18.2401,0.3962,0.6860,mean,0.4386,0.8919,1.1352,0.6691,0.8022,1.0666,0.5342,-0.8783,-1.3244,-0.3867,-1.6188,-1.5215
Dem.DEM,Dem,4.5441,10.9954,44.5502,5.0760,3.4632,1.7840,2.0592,18.6381,18.9261,18.2401,0.3962,0.6860,median,0.4386,0.8919,1.1352,0.6691,0.8022,1.0666,0.5342,-0.8783,-1.3244,-0.3867,-1.6188,-1.5215
Dog.DOGON,Dog,4.0166,10.7134,37.4544,4.9970,3.3843,1.7662,2.0287,28.1955,33.4299,22.6487,3.3155,10.7811,mean,-0.3016,0.5000,-0.4967,0.3681,0.4011,0.7712,0.2593,1.4208,2.4594,0.3717,0.8142,0.9346
Dog.DOGON,Dog,3.9643,10.7442,37.2596,4.9948,3.3869,1.7662,2.0360,28.5972,33.7951,22.8473,3.2405,10.5329,median,-0.3802,0.5423,-0.5424,0.3596,0.4142,0.7705,0.3254,1.5611,2.6062,0.4113,0.7921,0.9132
Dos.DOSO,Dos,3.5484,10.8543,43.4806,5.0296,3.4715,1.7097,2.1478,25.8847,27.6560,24.3813,1.2686,3.2748,mean,-1.0440,0.6946,0.8930,0.4915,0.8449,-0.1224,1.3339,0.6906,0.5026,0.7350,-0.1846,-0.1449
