phone,base,count,tags
yw,y,33,semivowel; len-1; labialized
w*,w,54,semivowel; len-1; nasalized
y*,y,31,semivowel; len-1; nasalized
wy,w,11,semivowel; len-1; palatalized
wX,w,2,semivowel; len-1; pharyngealized
yX,y,1,semivowel; len-1; pharyngealized
wx,w,1,semivowel; len-1; velarized
y7,y7,26,semivowel; len-2
w7,w7,10,semivowel; len-2
wn,wn,6,semivowel; len-2
wr,wr,5,semivowel; len-2
yn,yn,4,semivowel; len-2
wd,wd,2,semivowel; len-2
wj,wj,2,semivowel; len-2
wk,wk,2,semivowel; len-2
wq,wq,2,semivowel; len-2
wb,wb,1,semivowel; len-2
wl,wl,1,semivowel; len-2
yk,yk,1,semivowel; len-2
yz,yz,1,semivowel; len-2
whn,wn,1,semivowel; len-2; aspirated/devoiced
wrh,wr,1,semivowel; len-2; aspirated/devoiced
wsk,wsk,2,semivowel; len-3
w7r,w7r,1,semivowel; len-3
w7t,w7t,1,semivowel; len-3
wt7,wt7,1,semivowel; len-3
y7t,y7t,1,semivowel; len-3
a,a,196571,vowel; len-1
i,i,138120,vowel; len-1
u,u,97611,vowel; len-1
o,o,90205,vowel; len-1
e,e,66480,vowel; len-1
3,3,32593,vowel; len-1
E,E,24096,vowel; len-1
aw,a,3,vowel; len-1; labialized
ow,o,3,vowel; len-1; labialized
3w,3,1,vowel; len-1; labialized
Ew,E,1,vowel; len-1; labialized
a*,a,3002,vowel; len-1; nasalized
i*,i,2256,vowel; len-1; nasalized
o*,o,2100,vowel; len-1; nasalized
u*,u,1688,vowel; len-1; nasalized
e*,e,1012,vowel; len-1; nasalized
E*,E,705,vowel; len-1; nasalized
3*,3,491,vowel; len-1; nasalized
ay,a,5,vowel; len-1; palatalized
ey,e,5,vowel; len-1; palatalized
Ey,E,2,vowel; len-1; palatalized
3y,3,1,vowel; len-1; palatalized
iy,i,1,vowel; len-1; palatalized
3r,3r,2,vowel; len-2
a*7,a7,2,vowel; len-2; nasalized
a*d,ad,1,vowel; len-2; nasalized
a*g,ag,1,vowel; len-2; nasalized
i*7,i7,1,vowel; len-2; nasalized
i*dy,id,1,vowel; len-2; palatalized; nasalized
