Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Cay,4.4615,11.3457,47.8953,5.1568,3.5420,1.7470,2.1334,26.7699,29.3872,25.0628,1.6600,4.3244,mean,0.0714,1.5109,1.9878,1.0305,1.2578,0.4776,1.2205,0.8964,0.9604,0.8508,0.0944,0.1116
Cay,4.4615,11.3457,47.8953,5.1568,3.5420,1.7470,2.1334,26.7699,29.3872,25.0628,1.6600,4.3244,median,0.0714,1.5109,1.9878,1.0305,1.2578,0.4776,1.2205,0.8964,0.9604,0.8508,0.0944,0.1116
Cha,4.8529,10.8285,42.2912,4.9830,3.4352,1.7416,2.0738,17.0708,24.1289,10.1712,4.8790,13.9577,mean,0.5781,0.7004,0.6060,0.3062,0.6538,0.3952,0.6614,-1.0814,-0.4199,-1.2467,1.1404,1.1399
Cha,4.8529,10.8285,42.2912,4.9830,3.4352,1.7416,2.0738,17.0708,24.1289,10.1712,4.8790,13.9577,median,0.5781,0.7004,0.6060,0.3062,0.6538,0.3952,0.6614,-1.0814,-0.4199,-1.2467,1.1404,1.1399
Chi,4.3575,10.0403,40.7931,4.7114,3.2500,1.6538,2.0219,21.2108,22.1124,20.2270,0.8374,1.8854,mean,-0.0700,-0.4199,0.2396,-0.7259,-0.3253,-0.8871,0.1713,-0.4170,-0.8245,-0.0466,-0.6750,-0.6214
Chi,4.3072,10.0471,40.1898,4.7458,3.2816,1.6584,2.0241,21.8904,22.6436,20.9041,0.7331,1.7241,median,-0.1394,-0.4109,0.0924,-0.6017,-0.1639,-0.8225,0.1919,-0.2844,-0.7242,0.0646,-0.8351,-0.7006
Chk,5.3175,9.1153,34.7287,4.4597,3.0578,1.6044,1.8811,7.6333,14.7305,2.0989,4.7055,12.6316,mean,1.1343,-1.5654,-1.2294,-1.5797,-1.2520,-1.5625,-1.1758,-1.8828,-1.8121,-1.7478,1.1082,1.0526
Chk,5.3175,9.1153,34.7287,4.4597,3.0578,1.6044,1.8811,7.6333,14.7305,2.0989,4.7055,12.6316,median,1.1343,-1.5654,-1.2294,-1.5797,-1.2520,-1.5625,-1.1758,-1.8828,-1.8121,-1.7478,1.1082,1.0526
Chn,4.7395,9.6727,38.8628,4.7210,3.1681,1.6680,1.9289,8.8372,15.6306,1.9754,4.8708,13.6552,mean,0.4352,-0.8965,-0.2305,-0.6915,-0.7312,-0.6871,-0.7152,-1.8227,-1.7283,-1.7531,1.1389,1.1208
Chn,4.6533,9.9185,40.0179,4.7593,3.1843,1.6730,1.9278,9.9111,17.5113,2.1046,5.4417,15.3307,median,0.3245,-0.5810,0.0505,-0.5526,-0.6520,-0.6163,-0.7267,-1.7603,-1.5229,-1.7475,1.2361,1.2219
Cho,4.2625,10.5751,43.1443,4.9450,3.4273,1.6930,2.1006,22.2948,22.7123,21.6906,0.6453,1.0217,mean,-0.2016,0.3253,0.8152,0.1548,0.6104,-0.3284,0.9132,-0.2020,-0.7109,0.1995,-0.9919,-1.1649
Cho,4.1143,10.7337,43.1363,4.9913,3.4531,1.7000,2.1148,25.4669,25.8940,24.9081,0.6177,0.9859,median,-0.4125,0.5584,0.8133,0.3397,0.7530,-0.2259,1.0465,0.5393,-0.0112,0.8182,-1.0465,-1.1966
Chq,3.8846,10.3059,43.6799,4.8984,3.4185,1.6710,2.1509,25.5116,27.8712,22.5331,2.0718,5.3381,mean,-0.7531,-0.0576,0.9468,-0.0281,0.5620,-0.6448,1.3839,0.5510,0.5111,0.3508,0.3252,0.2970
Chq,3.8846,10.3059,43.6799,4.8984,3.4185,1.6710,2.1509,25.5116,27.8712,22.5331,2.0718,5.3381,median,-0.7531,-0.0576,0.9468,-0.0281,0.5620,-0.6448,1.3839,0.5510,0.5111,0.3508,0.3252,0.2970
Cht,3.5163,9.0044,32.6645,4.5594,2.9829,1.5874,1.9163,20.8418,28.1691,12.0666,5.9050,16.1025,mean,-1.3388,-1.6909,-1.7238,-1.2530,-1.5887,-1.7887,-0.8362,-0.4861,0.5960,-1.0773,1.3066,1.2649
Cht,3.5163,9.0044,32.6645,4.5594,2.9829,1.5874,1.9163,20.8418,28.1691,12.0666,5.9050,16.1025,median,-1.3388,-1.6909,-1.7238,-1.2530,-1.5887,-1.7887,-0.8362,-0.4861,0.5960,-1.0773,1.3066,1.2649
Chu,4.4219,8.9258,34.5508,4.4742,3.0196,1.6030,1.9035,16.7932,21.4344,13.1519,3.3848,8.2826,mean,0.0179,-1.7783,-1.2721,-1.5332,-1.4256,-1.5821,-0.9595,-1.1179,-0.9464,-0.9697,0.8067,0.6829
Chu,4.2005,8.8788,34.3816,4.4530,3.0080,1.6054,1.8920,15.9269,20.8590,12.8072,3.5521,8.7339,median,-0.2890,-1.8300,-1.3127,-1.6011,-1.4774,-1.5505,-1.0701,-1.2258,-1.0445,-1.0048,0.8519,0.7294
Cnd,4.8889,10.0130,39.4879,4.8436,3.2101,1.6751,1.9829,26.1512,27.0366,25.2180,1.0061,1.8186,mean,0.6229,-0.4563,-0.0785,-0.2385,-0.5249,-0.5863,-0.1995,0.7228,0.2821,0.8838,-0.4598,-0.6533
Cnd,4.8889,10.0130,39.4879,4.8436,3.2101,1.6751,1.9829,26.1512,27.0366,25.2180,1.0061,1.8186,median,0.6229,-0.4563,-0.0785,-0.2385,-0.5249,-0.5863,-0.1995,0.7228,0.2821,0.8838,-0.4598,-0.6533
Coa,4.3750,9.3962,37.6333,4.6117,2.9900,1.6658,1.8258,22.5644,30.0902,12.9980,6.2628,17.0922,mean,-0.0459,-1.2363,-0.5287,-1.0757,-1.5575,-0.7187,-1.7118,-0.1456,1.1836,-0.9855,1.3567,1.3170
Coa,4.3750,9.3962,37.6333,4.6117,2.9900,1.6658,1.8258,22.5644,30.0902,12.9980,6.2628,17.0922,median,-0.0459,-1.2363,-0.5287,-1.0757,-1.5575,-0.7187,-1.7118,-0.1456,1.1836,-0.9855,1.3567,1.3170
Cof,4.9444,9.4936,39.7780,4.5004,3.1492,1.5773,2.0426,24.8188,25.4006,23.5642,0.8905,1.8364,mean,0.6913,-1.1184,-0.0079,-1.4481,-0.8223,-1.9199,0.3670,0.3735,-0.1308,0.5462,-0.6021,-0.6447
Cof,4.9444,9.4936,39.7780,4.5004,3.1492,1.5773,2.0426,24.8188,25.4006,23.5642,0.8905,1.8364,median,0.6913,-1.1184,-0.0079,-1.4481,-0.8223,-1.9199,0.3670,0.3735,-0.1308,0.5462,-0.6021,-0.6447
Cui,4.8289,10.0874,37.3294,4.9922,3.4435,1.7109,2.0779,23.3289,24.5235,22.3721,0.7789,2.1514,mean,0.5481,-0.3568,-0.6023,0.3433,0.6997,-0.0655,0.7000,0.0207,-0.3331,0.3214,-0.7617,-0.5046
Cui,4.8289,10.0874,37.3294,4.9922,3.4435,1.7109,2.0779,23.3289,24.5235,22.3721,0.7789,2.1514,median,0.5481,-0.3568,-0.6023,0.3433,0.6997,-0.0655,0.7000,0.0207,-0.3331,0.3214,-0.7617,-0.5046
DB,4.2866,10.8841,41.1810,5.2662,3.5587,1.7818,2.1338,20.4033,20.8533,19.7826,0.5291,1.0708,mean,-0.1681,0.7846,0.3344,1.5132,1.3549,1.0186,1.2243,-0.5655,-1.0454,-0.1172,-1.2430,-1.1232
DB,4.2866,10.8841,41.1810,5.2662,3.5587,1.7818,2.1338,20.4033,20.8533,19.7826,0.5291,1.0708,median,-0.1681,0.7846,0.3344,1.5132,1.3549,1.0186,1.2243,-0.5655,-1.0454,-0.1172,-1.2430,-1.1232
DR,5.8455,11.0314,39.9483,5.1538,3.4862,1.8337,1.9859,27.2969,29.5366,24.8797,1.7367,4.6569,mean,1.7160,1.0111,0.0336,1.0174,0.9386,1.8584,-0.1709,1.0502,1.0070,0.8122,0.1422,0.1768
DR,5.8455,11.0314,39.9483,5.1538,3.4862,1.8337,1.9859,27.2969,29.5366,24.8797,1.7367,4.6569,median,1.7160,1.0111,0.0336,1.0174,0.9386,1.8584,-0.1709,1.0502,1.0070,0.8122,0.1422,0.1768
Dem,4.5441,10.9954,44.5502,5.0760,3.4632,1.7840,2.0592,18.6381,18.9261,18.2401,0.3962,0.6860,mean,0.1815,0.9553,1.1609,0.6875,0.8093,1.0534,0.5238,-0.8573,-1.3392,-0.3483,-1.6244,-1.5193
Dem,4.5441,10.9954,44.5502,5.0760,3.4632,1.7840,2.0592,18.6381,18.9261,18.2401,0.3962,0.6860,median,0.1815,0.9553,1.1609,0.6875,0.8093,1.0534,0.5238,-0.8573,-1.3392,-0.3483,-1.6244,-1.5193
Dog,4.0166,10.7134,37.4544,4.9970,3.3843,1.7662,2.0287,28.1955,33.4299,22.6487,3.3155,10.7811,mean,-0.5552,0.5283,-0.5721,0.3628,0.3762,0.7746,0.2350,1.3254,2.3804,0.3722,0.7872,0.9139
Dog,3.9643,10.7442,37.2596,4.9948,3.3869,1.7662,2.0360,28.5972,33.7951,22.8473,3.2405,10.5329,median,-0.6330,0.5740,-0.6192,0.3538,0.3902,0.7740,0.3046,1.4537,2.5254,0.4092,0.7655,0.8935
Dos,3.5484,10.8543,43.4806,5.0296,3.4715,1.7097,2.1478,25.8847,27.6560,24.3813,1.2686,3.2748,mean,-1.2856,0.7394,0.8978,0.4954,0.8558,-0.0833,1.3550,0.6503,0.4509,0.7092,-0.1974,-0.1335
Dos,3.5484,10.8543,43.4806,5.0296,3.4715,1.7097,2.1478,25.8847,27.6560,24.3813,1.2686,3.2748,median,-1.2856,0.7394,0.8978,0.4954,0.8558,-0.0833,1.3550,0.6503,0.4509,0.7092,-0.1974,-0.1335
Dra,4.2843,10.1444,39.0519,4.8234,3.2444,1.7417,1.9210,24.4035,29.5399,20.1508,3.0532,9.3891,mean,-0.1712,-0.2798,-0.1846,-0.3149,-0.3533,0.3970,-0.7912,0.2712,1.0081,-0.0588,0.7088,0.7928
Dra,4.3535,10.1122,39.4910,4.8108,3.2562,1.7469,1.9265,24.2135,29.9921,20.4331,3.0888,10.0891,median,-0.0754,-0.3233,-0.0778,-0.3620,-0.2937,0.4761,-0.7387,0.2255,1.1519,-0.0132,0.7199,0.8558
EA,5.4399,9.1910,36.0660,4.5209,3.0692,1.6155,1.9400,-3.1942,8.8168,-13.8198,8.4835,22.6366,mean,1.2736,-1.4783,-0.9075,-1.3809,-1.1993,-1.4142,-0.6090,-2.1102,-2.1634,-2.0887,1.6077,1.5621
EA,5.5012,9.1640,35.6382,4.4967,3.0960,1.6187,1.9478,-3.3811,8.0836,-14.3451,7.9650,20.8297,median,1.3423,-1.5095,-1.0106,-1.4602,-1.0749,-1.3717,-0.5351,-2.1111,-2.1868,-2.0921,1.5566,1.4896
EBH,4.5347,10.6763,40.2150,4.9945,3.3073,1.7213,2.0295,18.6494,19.0003,18.1497,0.4367,0.8505,mean,0.1691,0.4734,0.0986,0.3526,-0.0313,0.0895,0.2435,-0.8556,-1.3288,-0.3612,-1.4939,-1.3279
EBH,4.4808,10.6607,40.5119,4.9880,3.2986,1.7183,2.0305,17.9204,18.2537,17.4645,0.4168,0.7893,median,0.0972,0.4504,0.1710,0.3263,-0.0765,0.0443,0.2530,-0.9639,-1.4297,-0.4565,-1.5561,-1.3944
ED,5.1043,10.4243,38.3483,5.0877,3.3953,1.8462,1.9120,27.2389,29.9980,24.3669,2.0667,5.6311,mean,0.8847,0.1089,-0.3554,0.7364,0.4356,2.0654,-0.8784,1.0330,1.1538,0.7062,0.3227,0.3440
ED,5.0714,10.1618,37.2267,4.9548,3.2926,1.8311,1.8735,27.4262,30.1216,24.5170,2.0692,5.6046,median,0.8454,-0.2561,-0.6272,0.1935,-0.1075,1.8146,-1.2492,1.0888,1.1938,0.7369,0.3239,0.3398
ESu,4.1286,10.3853,39.3951,4.8758,3.3129,1.7289,1.9898,24.3119,27.4421,21.4306,2.1766,6.0116,mean,-0.3919,0.0537,-0.1011,-0.1153,-0.0025,0.2024,-0.1335,0.2491,0.3918,0.1542,0.3754,0.4015
ESu,4.0000,10.3596,38.4856,4.8711,3.3167,1.7349,1.9925,25.6705,29.4284,22.2988,1.9160,5.1071,median,-0.5798,0.0175,-0.3221,-0.1335,0.0175,0.2936,-0.1081,0.5930,0.9732,0.3080,0.2447,0.2581
ETF,4.3050,10.0886,36.7376,4.8827,3.2822,1.7592,1.9394,26.0278,27.5677,24.3174,1.2009,3.2503,mean,-0.1424,-0.3552,-0.7454,-0.0890,-0.1609,0.6657,-0.6151,0.6891,0.4264,0.6962,-0.2586,-0.1401
ETF,4.2375,9.9174,35.6771,4.8495,3.2532,1.7605,1.9218,26.0168,27.5631,24.3427,1.1904,3.2204,median,-0.2368,-0.5824,-1.0012,-0.2160,-0.3087,0.6847,-0.7839,0.6860,0.4251,0.7013,-0.2684,-0.1483
Ele,4.6371,11.9081,51.1399,5.3998,3.7275,1.7656,2.2259,26.1839,27.0864,24.9634,0.9320,2.1230,mean,0.3035,2.4624,2.7954,2.1310,2.3771,0.7642,2.0806,0.7318,0.2954,0.8298,-0.5487,-0.5164
Ele,4.6250,12.0496,53.3462,5.4833,3.7621,1.7782,2.2273,26.3035,27.2090,25.0632,0.9319,2.1458,median,0.2877,2.7136,3.3475,2.5332,2.5963,0.9626,2.0939,0.7648,0.3284,0.8509,-0.5488,-0.5069
Ess,4.2609,10.1611,40.1933,4.9431,3.2600,1.6614,2.0214,11.3618,14.5601,9.0314,2.3312,5.5287,mean,-0.2039,-0.2570,0.0933,0.1471,-0.2745,-0.7809,0.1663,-1.6619,-1.8269,-1.3379,0.4446,0.3278
Ess,4.2609,10.1611,40.1933,4.9431,3.2600,1.6614,2.0214,11.3618,14.5601,9.0314,2.3312,5.5287,median,-0.2039,-0.2570,0.0933,0.1471,-0.2745,-0.7809,0.1663,-1.6619,-1.8269,-1.3379,0.4446,0.3278
Ful,4.2000,9.8326,41.8811,4.6392,3.2119,1.5892,2.0511,24.1491,25.9322,21.5110,1.6644,4.4212,mean,-0.2898,-0.6927,0.5056,-0.9808,-0.5160,-1.7645,0.4473,0.2101,-0.0018,0.1681,0.0973,0.1311
Ful,4.2000,9.8326,41.8811,4.6392,3.2119,1.5892,2.0511,24.1491,25.9322,21.5110,1.6644,4.4212,median,-0.2898,-0.6927,0.5056,-0.9808,-0.5160,-1.7645,0.4473,0.2101,-0.0018,0.1681,0.0973,0.1311
Fur,3.7594,10.3618,38.6286,4.8576,3.3186,1.7112,1.9841,26.4626,31.1915,20.6513,3.6300,10.5402,mean,-0.9464,0.0206,-0.2874,-0.1852,0.0276,-0.0606,-0.1884,0.8093,1.5530,0.0226,0.8721,0.8942
Fur,3.8649,10.5136,39.2702,4.9186,3.3650,1.7145,2.0091,25.9568,30.5165,19.8733,3.7097,10.6432,median,-0.7832,0.2365,-0.1315,0.0506,0.2726,-0.0122,0.0496,0.6697,1.3237,-0.1030,0.8923,0.9027
GA,4.6154,10.2935,38.9877,4.7757,3.3470,1.7054,2.0238,26.8572,28.1934,25.4587,0.8991,2.7347,mean,0.2752,-0.0748,-0.2002,-0.4926,0.1771,-0.1473,0.1890,0.9215,0.6030,0.9355,-0.5907,-0.2926
GA,4.8478,10.2778,39.0267,4.7050,3.3003,1.6965,2.0072,26.8490,28.1954,25.4598,0.9025,2.7722,median,0.5718,-0.0966,-0.1907,-0.7492,-0.0680,-0.2771,0.0316,0.9192,0.6036,0.9357,-0.5864,-0.2805
GB,4.0832,11.9558,50.2588,5.4158,3.7072,1.7626,2.2535,25.0594,25.3804,24.7082,0.3819,0.6722,mean,-0.4577,2.5465,2.5756,2.2067,2.2507,0.7177,2.3350,0.4341,-0.1356,0.7764,-1.6739,-1.5374
GB,4.0944,11.8949,50.1158,5.3767,3.7046,1.7457,2.2574,25.5098,25.9489,24.9453,0.3711,0.5710,median,-0.4414,2.4393,2.5399,2.0217,2.2343,0.4578,2.3712,0.5505,0.0024,0.8260,-1.7130,-1.6829
GWB,4.3284,10.6628,41.5168,4.9965,3.3672,1.7552,2.0005,24.9505,26.2065,23.8388,0.8732,2.3677,mean,-0.1099,0.4535,0.4164,0.3606,0.2843,0.6041,-0.0320,0.4065,0.0667,0.6001,-0.6252,-0.4199
GWB,4.2926,10.7188,41.1574,5.0106,3.3698,1.7608,1.9940,25.4996,26.7820,24.4921,0.8348,2.2854,median,-0.1597,0.5363,0.3286,0.4178,0.2983,0.6893,-0.0938,0.5478,0.2147,0.7318,-0.6786,-0.4512
Gaa,5.7429,10.9657,42.2244,4.9169,3.3600,1.7785,1.9539,27.2332,30.1904,24.5359,2.0710,5.6545,mean,1.6067,0.9095,0.5896,0.0440,0.2459,0.9666,-0.4763,1.0313,1.2163,0.7408,0.3248,0.3476
Gaa,5.7429,10.9657,42.2244,4.9169,3.3600,1.7785,1.9539,27.2332,30.1904,24.5359,2.0710,5.6545,median,1.6067,0.9095,0.5896,0.0440,0.2459,0.9666,-0.4763,1.0313,1.2163,0.7408,0.3248,0.3476
Gar,5.5882,10.6632,38.1089,5.0564,3.3523,1.8491,1.9190,25.6449,29.3037,20.5459,3.2557,8.7579,mean,1.4386,0.4541,-0.4135,0.6059,0.2050,2.1139,-0.8108,0.5862,0.9345,0.0052,0.7700,0.7318
Gar,5.5882,10.6632,38.1089,5.0564,3.3523,1.8491,1.9190,25.6449,29.3037,20.5459,3.2557,8.7579,median,1.4386,0.4541,-0.4135,0.6059,0.2050,2.1139,-0.8108,0.5862,0.9345,0.0052,0.7700,0.7318
Gch,5.4107,11.2254,46.2222,5.2133,3.5789,1.7474,2.1791,27.1053,29.6474,23.5119,2.4104,6.1355,mean,1.2406,1.3170,1.5735,1.2771,1.4733,0.4838,1.6465,0.9937,1.0419,0.5360,0.4779,0.4194
Gch,5.4107,11.2254,46.2222,5.2133,3.5789,1.7474,2.1791,27.1053,29.6474,23.5119,2.4104,6.1355,median,1.2406,1.3170,1.5735,1.2771,1.4733,0.4838,1.6465,0.9937,1.0419,0.5360,0.4779,0.4194
Gcu,5.4270,10.5865,43.5195,4.8913,3.3738,1.7039,2.0622,22.7547,27.9591,16.8098,4.1406,11.1493,mean,1.2590,0.3420,0.9074,-0.0557,0.3198,-0.1684,0.5524,-0.1051,0.5360,-0.5439,0.9931,0.9434
Gcu,5.1316,10.5223,43.3468,4.8901,3.3433,1.6797,2.0161,22.1932,27.9628,15.8798,4.4712,12.2331,median,0.9172,0.2490,0.8650,-0.0603,0.1573,-0.5203,0.1161,-0.2229,0.5371,-0.6619,1.0626,1.0246
Gii,6.2172,10.3513,36.1385,4.9589,3.2918,1.8144,1.8909,26.3063,29.2941,23.5170,2.0737,5.7771,mean,2.0979,0.0058,-0.8900,0.2096,-0.1115,1.5405,-1.0815,0.7656,0.9315,0.5370,0.3261,0.3665
Gii,6.1842,10.4539,36.2966,5.0090,3.3259,1.8212,1.9070,26.8226,29.6363,24.2970,1.9149,5.3393,median,2.0648,0.1510,-0.8519,0.4113,0.0657,1.6519,-0.9261,0.9116,1.0384,0.6920,0.2442,0.2972
Gmo,5.6613,9.6113,38.4400,4.5755,3.1172,1.6104,1.9840,27.3695,30.0200,25.8825,1.6345,4.1375,mean,1.5186,-0.9733,-0.3332,-1.1989,-0.9749,-1.4829,-0.1890,1.0718,1.1609,1.0282,0.0780,0.0727
Gmo,5.6613,9.6113,38.4400,4.5755,3.1172,1.6104,1.9840,27.3695,30.0200,25.8825,1.6345,4.1375,median,1.5186,-0.9733,-0.3332,-1.1989,-0.9749,-1.4829,-0.1890,1.0718,1.1609,1.0282,0.0780,0.0727
Gto,3.1579,10.7985,46.6329,4.8803,3.3851,1.6368,2.1289,27.5730,30.2398,25.0240,2.0524,5.2158,mean,-1.9638,0.6553,1.6751,-0.0981,0.3805,-1.1239,1.1784,1.1330,1.2324,0.8426,0.3155,0.2766
Gto,3.1579,10.7985,46.6329,4.8803,3.3851,1.6368,2.1289,27.5730,30.2398,25.0240,2.0524,5.2158,median,-1.9638,0.6553,1.6751,-0.0981,0.3805,-1.1239,1.1784,1.1330,1.2324,0.8426,0.3155,0.2766
Gua,5.1889,9.9922,40.1173,4.7456,3.2522,1.6880,1.9995,26.4868,28.5581,25.0613,1.3984,3.4968,mean,0.9848,-0.4839,0.0748,-0.6025,-0.3143,-0.4002,-0.0419,0.8161,0.7093,0.8505,-0.0902,-0.0756
Gua,5.1375,9.9675,39.9088,4.7380,3.2447,1.6942,1.9921,26.6732,28.9548,25.0835,1.5563,3.8712,median,0.9242,-0.5165,0.0240,-0.6300,-0.3516,-0.3099,-0.1119,0.8688,0.8278,0.8552,0.0256,0.0141
Gum,3.7637,11.0793,47.9012,5.0768,3.4356,1.7005,2.1106,28.0495,32.1932,24.7806,2.4471,7.4127,mean,-0.9397,1.0859,1.9893,0.6909,0.6562,-0.2181,1.0074,1.2795,1.9104,0.7915,0.4930,0.5855
Gum,3.8718,11.1714,48.7603,5.0825,3.4564,1.6991,2.1226,28.1552,32.2746,24.9701,2.4471,7.3855,median,-0.7726,1.2310,2.2026,0.7146,0.7714,-0.2391,1.1195,1.3127,1.9403,0.8312,0.4930,0.5823
Gun,5.5625,10.1379,37.1670,4.6760,3.1635,1.7498,1.8749,25.9462,29.2222,22.5281,2.3492,6.6940,mean,1.4103,-0.2885,-0.6416,-0.8519,-0.7532,0.5200,-1.2359,0.6669,0.9093,0.3499,0.4522,0.4959
Gun,5.7796,10.0878,36.5639,4.6803,3.1580,1.7488,1.8563,26.1375,29.0862,22.3928,2.2067,6.1576,median,1.6459,-0.3562,-0.7874,-0.8370,-0.7798,0.5044,-1.4156,0.7190,0.8677,0.3251,0.3893,0.4226
Gur,4.2667,10.0097,39.0636,4.9189,3.2406,1.7550,1.9450,25.6880,25.9909,25.2027,0.4729,0.7881,mean,-0.1958,-0.4607,-0.1817,0.0518,-0.3725,0.6005,-0.5614,0.5976,0.0128,0.8805,-1.3890,-1.3957
Gur,4.2667,10.0097,39.0636,4.9189,3.2406,1.7550,1.9450,25.6880,25.9909,25.2027,0.4729,0.7881,median,-0.1958,-0.4607,-0.1817,0.0518,-0.3725,0.6005,-0.5614,0.5976,0.0128,0.8805,-1.3890,-1.3957
HC,3.4115,9.5556,36.7303,4.6676,3.0807,1.6756,1.9008,9.3318,10.1050,8.0203,0.8510,2.0847,mean,-1.5154,-1.0423,-0.7472,-0.8816,-1.1460,-0.5791,-0.9858,-1.7950,-2.1128,-1.4126,-0.6557,-0.5325
HC,3.4115,9.5556,36.7303,4.6676,3.0807,1.6756,1.9008,9.3318,10.1050,8.0203,0.8510,2.0847,median,-1.5154,-1.0423,-0.7472,-0.8816,-1.1460,-0.5791,-0.9858,-1.7950,-2.1128,-1.4126,-0.6557,-0.5325
HM,2.8468,9.9997,38.5904,4.7953,3.2151,1.7082,1.9886,19.0298,25.6079,10.1297,5.5709,15.4782,mean,-2.5599,-0.4740,-0.2967,-0.4199,-0.4998,-0.1050,-0.1455,-0.7963,-0.0810,-1.2502,1.2564,1.2303
HM,2.8286,10.0192,38.3846,4.8333,3.2429,1.7120,1.9857,19.1361,25.2911,10.4237,5.7759,15.8898,median,-2.5967,-0.4480,-0.3466,-0.2775,-0.3610,-0.0492,-0.1728,-0.7794,-0.1567,-1.2254,1.2876,1.2532
Had,4.1625,10.2914,43.9962,4.8364,3.3268,1.6742,2.0870,22.0231,23.3158,19.7634,1.4300,3.5523,mean,-0.3432,-0.0778,1.0246,-0.2657,0.0704,-0.5991,0.7856,-0.2576,-0.5909,-0.1202,-0.0658,-0.0617
Had,4.1625,10.2914,43.9962,4.8364,3.3268,1.6742,2.0870,22.0231,23.3158,19.7634,1.4300,3.5523,median,-0.3432,-0.0778,1.0246,-0.2657,0.0704,-0.5991,0.7856,-0.2576,-0.5909,-0.1202,-0.0658,-0.0617
Hai,4.2687,9.0556,37.0031,4.3876,2.9322,1.6142,1.8150,7.5044,13.4729,3.3088,3.8434,10.1641,mean,-0.1929,-1.6332,-0.6813,-1.8066,-1.8099,-1.4312,-1.8169,-1.8887,-1.9144,-1.6920,0.9250,0.8623
Hai,4.2687,9.0556,37.0031,4.3876,2.9322,1.6142,1.8150,7.5044,13.4729,3.3088,3.8434,10.1641,median,-0.1929,-1.6332,-0.6813,-1.8066,-1.8099,-1.4312,-1.8169,-1.8887,-1.9144,-1.6920,0.9250,0.8623
Har,4.5898,10.1766,39.7202,4.7266,3.2799,1.6679,2.0293,15.0238,16.4550,13.9876,1.0685,2.4674,mean,0.2417,-0.2359,-0.0220,-0.6714,-0.1726,-0.6896,0.2407,-1.3291,-1.6435,-0.8813,-0.3907,-0.3835
Har,4.5898,10.1766,39.7202,4.7266,3.2799,1.6679,2.0293,15.0238,16.4550,13.9876,1.0685,2.4674,median,0.2417,-0.2359,-0.0220,-0.6714,-0.1726,-0.6896,0.2407,-1.3291,-1.6435,-0.8813,-0.3907,-0.3835
Hat,3.7114,10.2797,37.1800,4.8205,3.2469,1.7683,1.9179,25.6567,25.9935,25.3567,0.4026,0.6369,mean,-1.0221,-0.0941,-0.6385,-0.3257,-0.3408,0.8067,-0.8218,0.5893,0.0134,0.9135,-1.6026,-1.5855
Hat,3.7114,10.2797,37.1800,4.8205,3.2469,1.7683,1.9179,25.6567,25.9935,25.3567,0.4026,0.6369,median,-1.0221,-0.0941,-0.6385,-0.3257,-0.3408,0.8067,-0.8218,0.5893,0.0134,0.9135,-1.6026,-1.5855
Hok,4.0180,10.0850,40.3705,4.8297,3.2354,1.6600,1.9987,16.5154,24.9837,9.3830,5.8451,15.6007,mean,-0.5532,-0.3600,0.1365,-0.2910,-0.3986,-0.8003,-0.0488,-1.1534,-0.2286,-1.3106,1.2978,1.2372
Hok,4.0061,10.1334,39.8674,4.8679,3.2343,1.6605,2.0008,16.2803,25.2293,9.4246,6.6162,17.6214,median,-0.5708,-0.2947,0.0139,-0.1458,-0.4045,-0.7936,-0.0292,-1.1828,-0.1713,-1.3073,1.4031,1.3436
Hru,3.1579,9.6879,36.1158,4.9425,3.2338,1.6675,2.0193,18.1149,22.9822,11.2037,4.2002,11.7785,mean,-1.9638,-0.8774,-0.8955,0.1447,-0.4067,-0.6945,0.1464,-0.9356,-0.6579,-1.1573,1.0061,0.9914
Hru,3.1579,9.6879,36.1158,4.9425,3.2338,1.6675,2.0193,18.1149,22.9822,11.2037,4.2002,11.7785,median,-1.9638,-0.8774,-0.8955,0.1447,-0.4067,-0.6945,0.1464,-0.9356,-0.6579,-1.1573,1.0061,0.9914
Hua,4.0593,9.7463,36.0803,4.7175,3.2113,1.6672,1.9911,26.3813,28.8712,23.5163,1.8133,5.3549,mean,-0.4925,-0.8034,-0.9041,-0.7041,-0.5188,-0.6993,-0.1214,0.7865,0.8026,0.5369,0.1874,0.2997
Hua,4.2692,9.7000,35.5557,4.7421,3.2205,1.6762,1.9857,26.2973,28.9067,23.3680,1.8574,5.5387,median,-0.1923,-0.8621,-1.0305,-0.6153,-0.4732,-0.5705,-0.1728,0.7631,0.8133,0.5081,0.2125,0.3294
Hur,3.9960,9.6616,39.8872,4.6612,3.1200,1.6607,1.9249,18.7499,26.1415,10.8305,5.4518,15.3110,mean,-0.5858,-0.9105,0.0187,-0.9041,-0.9617,-0.7908,-0.7541,-0.8401,0.0504,-1.1904,1.2377,1.2208
Hur,3.9960,9.6616,39.8872,4.6612,3.1200,1.6607,1.9249,18.7499,26.1415,10.8305,5.4518,15.3110,median,-0.5858,-0.9105,0.0187,-0.9041,-0.9617,-0.7908,-0.7541,-0.8401,0.0504,-1.1904,1.2377,1.2208
