Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Ara,5.7861,9.5061,34.0452,4.5221,3.0266,1.7224,1.8425,23.8697,24.0947,23.4661,0.4473,0.6286,mean,1.6529,-1.1031,-1.3934,-1.3770,-1.3938,0.1049,-1.5495,0.1443,-0.4273,0.5271,-1.4621,-1.5971
Ara,5.6190,9.3481,34.4184,4.4476,2.9908,1.7194,1.8475,23.8427,24.0505,23.4508,0.4375,0.6006,median,1.4724,-1.2938,-1.3039,-1.6183,-1.5540,0.0607,-1.5010,0.1380,-0.4369,0.5242,-1.4916,-1.6378
Arc,4.0897,10.1260,38.0377,4.9447,3.3682,1.7608,1.9883,11.2665,17.0938,6.1076,3.9929,10.9861,mean,-0.4482,-0.3046,-0.4308,0.1533,0.2898,0.6901,-0.1478,-1.6689,-1.5722,-1.5390,0.9600,0.9304
Arc,4.0794,10.1383,38.1496,4.9433,3.3572,1.7617,1.9861,11.2665,17.0938,6.1076,3.9929,10.9861,median,-0.4631,-0.2880,-0.4036,0.1479,0.2313,0.7041,-0.1686,-1.6689,-1.5722,-1.5390,0.9600,0.9304
Art,4.3250,10.5308,47.2818,4.8692,3.3596,1.6931,2.0864,22.6430,23.5388,21.7064,1.3394,1.8324,mean,-0.1147,0.2612,1.8357,-0.1408,0.2438,-0.3267,0.7799,-0.1290,-0.5451,0.2022,-0.1374,-0.6467
Art,4.3250,10.5308,47.2818,4.8692,3.3596,1.6931,2.0864,22.6430,23.5388,21.7064,1.3394,1.8324,median,-0.1147,0.2612,1.8357,-0.1408,0.2438,-0.3267,0.7799,-0.1290,-0.5451,0.2022,-0.1374,-0.6467
Aru,4.8543,11.3348,45.2280,5.2180,3.5377,1.7488,2.1568,25.6413,26.7598,24.9272,0.9052,1.8326,mean,0.5799,1.4932,1.3280,1.2979,1.2331,0.5048,1.4394,0.5852,0.2089,0.8222,-0.5829,-0.6466
Aru,4.7436,11.2909,43.9158,5.2106,3.5853,1.7573,2.1725,25.6118,26.8137,24.9348,0.8490,1.7570,median,0.4404,1.4222,1.0048,1.2652,1.5111,0.6360,1.5852,0.5774,0.2230,0.8238,-0.6586,-0.6839
Arw,4.9816,10.7352,42.2599,5.0587,3.4532,1.7254,2.1095,24.4343,25.8465,23.2386,1.1457,2.6079,mean,0.7368,0.5606,0.5983,0.6154,0.7535,0.1498,0.9970,0.2787,-0.0229,0.4833,-0.3114,-0.3345
Arw,4.8548,10.6871,42.1997,5.0450,3.4498,1.7254,2.1102,25.4660,26.2249,24.4385,1.1655,2.6286,median,0.5806,0.4894,0.5836,0.5590,0.7346,0.1505,1.0033,0.5390,0.0714,0.7209,-0.2922,-0.3275
Ata,2.9250,9.6536,35.2460,4.7797,3.1483,1.6856,1.9205,20.4636,28.3529,11.1397,6.2836,17.2132,mean,-2.4049,-0.9205,-1.1050,-0.4776,-0.8266,-0.4354,-0.7963,-0.5548,0.6492,-1.1630,1.3595,1.3231
Ata,2.9250,9.6536,35.2460,4.7797,3.1483,1.6856,1.9205,20.4636,28.3529,11.1397,6.2836,17.2132,median,-2.4049,-0.9205,-1.1050,-0.4776,-0.8266,-0.4354,-0.7963,-0.5548,0.6492,-1.1630,1.3595,1.3231
Atc,4.1600,11.1047,44.6134,5.1892,3.4557,1.7699,2.0330,23.7551,24.3161,23.3867,0.7267,0.9294,mean,-0.3468,1.1257,1.1765,1.1713,0.7675,0.8317,0.2762,0.1177,-0.3791,0.5118,-0.8457,-1.2490
