Genus,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
AA.MASA,AA,9.9739,37.8244,3.1769,1.6638,1.9679,27.7193,32.0176,24.8296,2.4730,7.1880,mean,-0.4791,-0.4102,-0.6117,-0.7964,-0.2868,1.2597,1.9186,0.8357,0.5254,0.5643
AA.MASA,AA,9.8100,36.0825,3.1475,1.6522,1.9590,27.7642,32.0663,24.8485,2.4624,7.2178,median,-0.6866,-0.8194,-0.7504,-0.9612,-0.3661,1.2746,1.9365,0.8400,0.5211,0.5681
AA.ONGOTA,AA,10.7280,47.0779,3.3295,1.6623,2.0812,21.3981,23.9445,19.2224,1.6668,4.7220,mean,0.5199,1.7030,0.1274,-0.8176,0.7316,-0.3943,-0.4247,-0.2367,0.1149,0.1839
AA.ONGOTA,AA,10.7280,47.0779,3.3295,1.6623,2.0812,21.3981,23.9445,19.2224,1.6668,4.7220,median,0.5199,1.7030,0.1274,-0.8176,0.7316,-0.3943,-0.4247,-0.2367,0.1149,0.1839
AA.SEMITIC,AA,9.7157,36.7341,3.0562,1.6692,1.8596,20.1920,27.8551,12.3329,5.6125,15.5222,mean,-0.8043,-0.6659,-1.1736,-0.7202,-1.2538,-0.6212,0.5592,-1.0955,1.2999,1.2701
AA.SEMITIC,AA,9.7017,36.0491,3.0522,1.6683,1.8384,19.6820,27.4962,12.9756,5.2697,14.4039,median,-0.8218,-0.8273,-1.1917,-0.7328,-1.4420,-0.7098,0.4576,-1.0327,1.2439,1.2010
AA.SOUTHERN_CUSHITIC,AA,10.4776,42.3382,3.2956,1.6959,1.9997,20.2499,22.1311,17.6260,1.6409,4.5051,mean,0.1801,0.6326,-0.0396,-0.3292,-0.0012,-0.6109,-0.7938,-0.4754,0.0981,0.1415
AA.SOUTHERN_CUSHITIC,AA,10.6750,42.7577,3.3247,1.7027,1.9958,20.3413,22.3893,17.6590,1.6379,4.4674,median,0.4473,0.7283,0.1036,-0.2280,-0.0358,-0.5944,-0.7444,-0.4707,0.0961,0.1339
AA.SOUTH_OMOTIC,AA,10.4584,41.9874,3.3124,1.6912,2.0375,23.3992,25.9301,21.4495,1.6682,4.4805,mean,0.1543,0.5524,0.0431,-0.3995,0.3382,0.0398,0.0415,0.1429,0.1158,0.1365
AA.SOUTH_OMOTIC,AA,10.5337,42.1473,3.3136,1.6923,2.0317,24.4751,27.0084,22.5747,1.6666,4.4337,median,0.2555,0.5889,0.0486,-0.3832,0.2867,0.3055,0.3233,0.3570,0.1148,0.1271
