Genus,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
DB.BOGAYA,DB,10.6411,38.2257,3.5508,1.7872,2.1354,24.7799,25.3668,24.0053,0.6001,1.3615,mean,0.4011,-0.3165,1.2576,1.1208,1.2216,0.3851,-0.0976,0.6528,-1.0763,-0.9232
DB.BOGAYA,DB,10.6411,38.2257,3.5508,1.7872,2.1354,24.7799,25.3668,24.0053,0.6001,1.3615,median,0.4011,-0.3165,1.2576,1.1208,1.2216,0.3851,-0.0976,0.6528,-1.0763,-0.9232
DB.DUNA,DB,11.1270,44.1364,3.5666,1.7764,2.1322,16.0266,16.3398,15.5598,0.4582,0.7800,mean,1.0783,1.0415,1.3410,0.9395,1.1927,-1.2307,-1.6498,-0.7468,-1.4246,-1.4100
DB.DUNA,DB,11.1270,44.1364,3.5666,1.7764,2.1322,16.0266,16.3398,15.5598,0.4582,0.7800,median,1.0783,1.0415,1.3410,0.9395,1.1927,-1.2307,-1.6498,-0.7468,-1.4246,-1.4100
DR.LARAGIYA,DR,10.9145,42.2375,3.4192,1.7977,1.9642,27.3800,29.3719,25.0720,1.6209,4.2999,mean,0.7784,0.6096,0.5772,1.2996,-0.3195,1.1484,1.0154,0.8913,0.0849,0.0995
DR.LARAGIYA,DR,10.9145,42.2375,3.4192,1.7977,1.9642,27.3800,29.3719,25.0720,1.6209,4.2999,median,0.7784,0.6096,0.5772,1.2996,-0.3195,1.1484,1.0154,0.8913,0.0849,0.0995
DR.LIMILNGAN,DR,11.1483,37.6592,3.5532,1.8698,2.0076,27.2138,29.7012,24.6874,1.8526,5.0139,mean,1.1087,-0.4489,1.2703,2.5971,0.0697,1.0949,1.1202,0.8034,0.2274,0.2380
DR.LIMILNGAN,DR,11.1483,37.6592,3.5532,1.8698,2.0076,27.2138,29.7012,24.6874,1.8526,5.0139,median,1.1087,-0.4489,1.2703,2.5971,0.0697,1.0949,1.1202,0.8034,0.2274,0.2380
Dem.DEM,Dem,10.9954,44.5502,3.4632,1.7840,2.0592,18.6381,18.9261,18.2401,0.3962,0.6860,mean,0.8918,1.1351,0.8020,1.0668,0.5338,-0.8783,-1.3244,-0.3867,-1.6188,-1.5215
Dem.DEM,Dem,10.9954,44.5502,3.4632,1.7840,2.0592,18.6381,18.9261,18.2401,0.3962,0.6860,median,0.8918,1.1351,0.8020,1.0668,0.5338,-0.8783,-1.3244,-0.3867,-1.6188,-1.5215
Dog.DOGON,Dog,10.7134,37.4544,3.3843,1.7662,2.0287,28.1955,33.4299,22.6487,3.3155,10.7811,mean,0.4999,-0.4968,0.4009,0.7714,0.2589,1.4208,2.4594,0.3717,0.8142,0.9346
Dog.DOGON,Dog,10.7442,37.2596,3.3869,1.7662,2.0360,28.5972,33.7951,22.8473,3.2405,10.5329,median,0.5422,-0.5425,0.4139,0.7708,0.3250,1.5611,2.6062,0.4113,0.7921,0.9132
Dos.DOSO,Dos,10.8543,43.4806,3.4715,1.7097,2.1478,25.8847,27.6560,24.3813,1.2686,3.2748,mean,0.6945,0.8928,0.8447,-0.1222,1.3338,0.6906,0.5026,0.7350,-0.1846,-0.1449
Dos.DOSO,Dos,10.8543,43.4806,3.4715,1.7097,2.1478,25.8847,27.6560,24.3813,1.2686,3.2748,median,0.6945,0.8928,0.8447,-0.1222,1.3338,0.6906,0.5026,0.7350,-0.1846,-0.1449
Dra.DRAVIDIAN,Dra,10.1444,39.0519,3.2444,1.7417,1.9210,24.4035,29.5399,20.1508,3.0532,9.3891,mean,-0.2597,-0.1242,-0.2889,0.3752,-0.7057,0.2870,1.0686,-0.0854,0.7344,0.8080
Dra.DRAVIDIAN,Dra,10.1122,39.4910,3.2562,1.7469,1.9265,24.2135,29.9921,20.4331,3.0888,10.0891,median,-0.3014,-0.0224,-0.2318,0.4578,-0.6568,0.2387,1.2146,-0.0374,0.7456,0.8738
EA.ALEUT,EA,9.4227,37.3026,2.9618,1.5786,1.8981,4.1591,10.0394,0.2430,3.6214,9.7964,mean,-1.1629,-0.5324,-1.5983,-1.9353,-0.9109,-1.9597,-2.1256,-1.8106,0.8985,0.8468
EA.ALEUT,EA,9.4227,37.3026,2.9618,1.5786,1.8981,4.1591,10.0394,0.2430,3.6214,9.7964,median,-1.1629,-0.5324,-1.5983,-1.9353,-0.9109,-1.9597,-2.1256,-1.8106,0.8985,0.8468
EA.ESKIMO,EA,9.1524,35.8599,3.0871,1.6217,1.9470,-4.4198,8.6130,-16.1636,9.2938,24.7766,mean,-1.4839,-0.8720,-1.0316,-1.3781,-0.4733,-2.0413,-2.1825,-2.0300,1.7285,1.7042
EA.ESKIMO,EA,9.1640,35.6382,3.0960,1.6235,1.9478,-4.2180,7.4564,-14.5211,8.2712,21.4299,median,-1.4703,-0.9244,-0.9908,-1.3535,-0.4668,-2.0409,-2.2179,-2.0244,1.6325,1.5691
EBH.EAST_BIRDS_HEAD,EBH,10.6763,40.2150,3.3073,1.7213,2.0295,18.6494,19.0003,18.1497,0.4367,0.8505,mean,0.4491,0.1451,0.0179,0.0558,0.2670,-0.8766,-1.3137,-0.4000,-1.4882,-1.3347
EBH.EAST_BIRDS_HEAD,EBH,10.6607,40.5119,3.2986,1.7183,2.0305,17.9204,18.2537,17.4645,0.4168,0.7893,median,0.4277,0.2136,-0.0250,0.0092,0.2760,-0.9846,-1.4173,-0.4981,-1.5504,-1.3997
ED.EASTERN_DALY,ED,10.4243,38.3483,3.3953,1.8462,1.9120,27.2389,29.9980,24.3669,2.0667,5.6311,mean,0.1088,-0.2879,0.4563,2.1588,-0.7866,1.1029,1.2165,0.7318,0.3419,0.3429
ED.EASTERN_DALY,ED,10.1618,37.2267,3.2926,1.8311,1.8735,27.4262,30.1216,24.5170,2.0692,5.6046,median,-0.2371,-0.5502,-0.0544,1.8853,-1.1297,1.1634,1.2571,0.7652,0.3431,0.3386
ESu.DAJU,ESu,10.2429,38.5301,3.2384,1.7118,1.9801,27.7703,32.1804,24.5847,2.6671,7.5956,mean,-0.1312,-0.2456,-0.3181,-0.0903,-0.1769,1.2767,1.9788,0.7803,0.6011,0.6145
ESu.DAJU,ESu,10.7766,40.2459,3.3832,1.7478,2.0149,27.6393,32.0645,24.9008,2.5344,7.1386,median,0.5868,0.1522,0.3953,0.4722,0.1353,1.2332,1.9358,0.8519,0.5501,0.5581
ESu.EASTERN_JEBEL,ESu,10.3894,39.4085,3.3073,1.7023,2.0081,26.8705,30.8257,24.2526,2.2514,6.5731,mean,0.0623,-0.0415,0.0180,-0.2340,0.0745,0.9865,1.4943,0.7066,0.4301,0.4831
ESu.EASTERN_JEBEL,ESu,10.5226,38.9520,3.3231,1.7175,1.9925,26.8892,30.7605,24.3499,2.2085,6.4106,median,0.2405,-0.1474,0.0957,-0.0031,-0.0658,0.9923,1.4719,0.7281,0.4104,0.4604
ESu.EASTERN_NILOTIC,ESu,10.6284,41.7978,3.3881,1.7607,2.0210,25.0855,27.5100,23.0601,1.6912,4.4499,mean,0.3838,0.5090,0.4198,0.6812,0.1901,0.4669,0.4615,0.4544,0.1305,0.1304
ESu.EASTERN_NILOTIC,ESu,10.6839,40.5093,3.3826,1.7603,2.0204,25.8925,28.9590,23.6272,1.6855,4.5128,median,0.4595,0.2130,0.3926,0.6742,0.1847,0.6929,0.8869,0.5720,0.1269,0.1430
ESu.KULIAK,ESu,9.8911,40.4487,3.1564,1.6416,1.9753,20.9025,22.8050,19.1962,1.2876,3.6088,mean,-0.5844,0.1990,-0.7086,-1.1081,-0.2202,-0.4906,-0.6627,-0.2409,-0.1680,-0.0579
ESu.KULIAK,ESu,9.8654,40.5273,3.1554,1.6409,1.9790,21.1581,23.0641,19.5044,1.2768,3.5598,median,-0.6168,0.2171,-0.7135,-1.1172,-0.1869,-0.4415,-0.6104,-0.1918,-0.1774,-0.0702
ESu.MAJANG,ESu,9.9558,36.8530,3.2368,1.7350,1.9419,17.7719,20.4261,15.7879,1.7278,4.6382,mean,-0.5022,-0.6379,-0.3256,0.2690,-0.5191,-1.0057,-1.0946,-0.7188,0.1534,0.1677
ESu.MAJANG,ESu,9.9558,36.8530,3.2368,1.7350,1.9419,17.7719,20.4261,15.7879,1.7278,4.6382,median,-0.5022,-0.6379,-0.3256,0.2690,-0.5191,-1.0057,-1.0946,-0.7188,0.1534,0.1677
ESu.NARA,ESu,10.3395,39.3462,3.3025,1.6725,2.0321,25.5499,29.4284,22.4005,2.4083,7.0280,mean,-0.0040,-0.0559,-0.0058,-0.6725,0.2899,0.5952,1.0332,0.3229,0.4986,0.5439
ESu.NARA,ESu,10.3395,39.3462,3.3025,1.6725,2.0321,25.5499,29.4284,22.4005,2.4083,7.0280,median,-0.0040,-0.0559,-0.0058,-0.6725,0.2899,0.5952,1.0332,0.3229,0.4986,0.5439
ESu.NUBIAN,ESu,10.6269,37.8145,3.4047,1.7297,2.0222,26.1650,31.8950,18.8270,4.7589,13.0681,mean,0.3817,-0.4125,0.5036,0.1856,0.2012,0.7724,1.8736,-0.2983,1.1520,1.1113
ESu.NUBIAN,ESu,10.6470,37.6653,3.3916,1.7325,2.0286,26.2806,31.0161,18.3793,5.2312,14.2685,median,0.4091,-0.4474,0.4376,0.2297,0.2589,0.8067,1.5601,-0.3661,1.2373,1.1923
ESu.NYIMANG,ESu,11.2838,41.1077,3.5522,1.8363,2.0343,26.1284,30.6275,21.5869,2.9733,9.0406,mean,1.3033,0.3507,1.2650,1.9789,0.3092,0.7617,1.4265,0.1682,0.7084,0.7734
ESu.NYIMANG,ESu,11.2838,41.1077,3.5522,1.8363,2.0343,26.1284,30.6275,21.5869,2.9733,9.0406,median,1.3033,0.3507,1.2650,1.9789,0.3092,0.7617,1.4265,0.1682,0.7084,0.7734
ESu.SOUTHERN_NILOTIC,ESu,10.3053,41.0729,3.3052,1.7027,2.0073,17.7808,19.3983,15.9614,1.2305,3.4369,mean,-0.0492,0.3427,0.0073,-0.2276,0.0673,-1.0044,-1.2554,-0.6972,-0.2189,-0.1016
ESu.SOUTHERN_NILOTIC,ESu,10.2643,40.5521,3.3155,1.6919,2.0059,18.1052,19.6651,15.8698,1.1593,3.3979,median,-0.1031,0.2228,0.0582,-0.3899,0.0545,-0.9580,-1.2151,-0.7086,-0.2864,-0.1119
ESu.SOUTH_SURMIC,ESu,10.5274,40.4753,3.3151,1.7152,2.0056,24.8507,27.3923,22.8658,1.6769,4.5265,mean,0.2470,0.2051,0.0561,-0.0379,0.0520,0.4039,0.4286,0.4151,0.1214,0.1457
ESu.SOUTH_SURMIC,ESu,10.5567,40.7026,3.3326,1.7144,2.0234,25.6111,28.0107,23.5026,1.6182,4.5081,median,0.2865,0.2575,0.1427,-0.0506,0.2117,0.6124,0.6040,0.5458,0.0830,0.1421
ESu.TAMAN,ESu,10.8842,40.4674,3.5036,1.7533,2.0812,25.1812,30.0803,19.9722,3.4769,10.1081,mean,0.7361,0.2033,1.0107,0.5603,0.7321,0.4930,1.2435,-0.1152,0.8597,0.8755
ESu.TAMAN,ESu,10.8685,41.0411,3.5201,1.7510,2.0892,25.0831,29.9704,19.8444,3.4729,10.1260,median,0.7142,0.3354,1.0967,0.5228,0.8042,0.4663,1.2075,-0.1364,0.8586,0.8771
ESu.TEMEIN,ESu,9.8200,35.8229,3.1558,1.7508,1.8881,26.0167,30.3683,22.4705,2.7199,7.8978,mean,-0.6740,-0.8807,-0.7116,0.5204,-0.9991,0.7289,1.3391,0.3365,0.6206,0.6501
ESu.TEMEIN,ESu,9.8200,35.8229,3.1558,1.7508,1.8881,26.0167,30.3683,22.4705,2.7199,7.8978,median,-0.6740,-0.8807,-0.7116,0.5204,-0.9991,0.7289,1.3391,0.3365,0.6206,0.6501
ESu.WESTERN_NILOTIC,ESu,10.1182,36.4112,3.2353,1.7462,1.9199,26.6538,29.8338,24.3228,2.0207,5.5110,mean,-0.2937,-0.7419,-0.3327,0.4471,-0.7155,0.9195,1.1630,0.7221,0.3185,0.3234
ESu.WESTERN_NILOTIC,ESu,10.1456,36.4862,3.2329,1.7492,1.9253,28.0230,31.4856,25.2825,2.2569,6.2673,median,-0.2581,-0.7242,-0.3447,0.4947,-0.6675,1.3617,1.7256,0.9402,0.4326,0.4399
ETF.EASTERN_TRANS-FLY,ETF,10.0886,36.7376,3.2822,1.7592,1.9394,26.0278,27.5677,24.3174,1.2009,3.2503,mean,-0.3319,-0.6651,-0.1051,0.6567,-0.5415,0.7322,0.4776,0.7209,-0.2464,-0.1516
ETF.EASTERN_TRANS-FLY,ETF,9.9174,35.6771,3.2532,1.7605,1.9218,26.0168,27.5631,24.3427,1.1904,3.2204,median,-0.5510,-0.9152,-0.2461,0.6767,-0.6988,0.7289,0.4764,0.7265,-0.2564,-0.1599
Ele.ELEMAN,Ele,11.9081,51.1399,3.7275,1.7656,2.2259,26.1839,27.0864,24.9634,0.9320,2.1230,mean,2.2310,2.6028,2.2091,0.7604,2.0424,0.7780,0.3445,0.8662,-0.5391,-0.5310
Ele.ELEMAN,Ele,12.0496,53.3462,3.7621,1.7782,2.2273,26.3035,27.2090,25.0632,0.9319,2.1458,median,2.4483,3.0852,2.4008,0.9704,2.0555,0.8135,0.3780,0.8892,-0.5392,-0.5216
Ess.ESSELEN,Ess,10.1611,40.1933,3.2600,1.6614,2.0214,11.3618,14.5601,9.0314,2.3312,5.5287,mean,-0.2380,0.1401,-0.2134,-0.8310,0.1937,-1.6562,-1.8262,-1.3713,0.4656,0.3263
Ess.ESSELEN,Ess,10.1611,40.1933,3.2600,1.6614,2.0214,11.3618,14.5601,9.0314,2.3312,5.5287,median,-0.2380,0.1401,-0.2134,-0.8310,0.1937,-1.6562,-1.8262,-1.3713,0.4656,0.3263
Ful.FULNIO,Ful,9.8326,41.8811,3.2119,1.5892,2.0511,24.1491,25.9322,21.5110,1.6644,4.4212,mean,-0.6582,0.5280,-0.4453,-1.8015,0.4609,0.2224,0.0420,0.1542,0.1134,0.1245
Ful.FULNIO,Ful,9.8326,41.8811,3.2119,1.5892,2.0511,24.1491,25.9322,21.5110,1.6644,4.4212,median,-0.6582,0.5280,-0.4453,-1.8015,0.4609,0.2224,0.0420,0.1542,0.1134,0.1245
Fur.FUR,Fur,10.3618,38.6286,3.3186,1.7112,1.9841,26.4626,31.1915,20.6513,3.6300,10.5402,mean,0.0256,-0.2226,0.0736,-0.0989,-0.1415,0.8613,1.6214,0.0003,0.9007,0.9138
Fur.FUR,Fur,10.5136,39.2702,3.3650,1.7145,2.0091,25.9568,30.5165,19.8733,3.7097,10.6432,median,0.2284,-0.0735,0.3041,-0.0491,0.0832,0.7115,1.3889,-0.1316,0.9213,0.9228
GA.GREAT_ANDAMANESE,GA,10.2935,38.9877,3.3470,1.7054,2.0238,26.8572,28.1934,25.4587,0.8991,2.7347,mean,-0.0647,-0.1391,0.2145,-0.1879,0.2152,0.9823,0.6572,0.9817,-0.5814,-0.3059
GA.GREAT_ANDAMANESE,GA,10.2778,39.0267,3.3003,1.6965,2.0072,26.8490,28.1954,25.4598,0.9025,2.7722,median,-0.0854,-0.1301,-0.0169,-0.3208,0.0661,0.9798,0.6578,0.9820,-0.5771,-0.2937
GB.GEELVINK_BAY,GB,11.9558,50.2588,3.7072,1.7626,2.2535,25.0594,25.3804,24.7082,0.3819,0.6722,mean,2.3039,2.4089,2.0981,0.7114,2.2932,0.4599,-0.0943,0.8081,-1.6683,-1.5391
GB.GEELVINK_BAY,GB,11.8949,50.1158,3.7046,1.7457,2.2574,25.5098,25.9489,24.9453,0.3711,0.5710,median,2.2109,2.3774,2.0836,0.4386,2.3289,0.5839,0.0462,0.8621,-1.7073,-1.6802
GWB.ALOR-PANTAR,GWB,10.6502,41.4532,3.3623,1.7541,1.9982,25.1094,26.3848,24.1068,0.8393,2.2779,mean,0.4135,0.4300,0.2906,0.5730,-0.0148,0.4734,0.1578,0.6748,-0.6634,-0.4685
GWB.ALOR-PANTAR,GWB,10.7188,41.2331,3.3698,1.7601,1.9940,25.7599,26.9760,24.8175,0.8348,2.2854,median,0.5073,0.3795,0.3281,0.6709,-0.0524,0.6548,0.3145,0.8329,-0.6699,-0.4656
GWB.BUNAK,GWB,10.6071,39.1210,3.3464,1.7262,2.0009,24.6367,26.4133,22.6661,1.2470,3.7471,mean,0.3547,-0.1082,0.2113,0.1313,0.0096,0.3474,0.1652,0.3752,-0.2039,-0.0242
GWB.BUNAK,GWB,10.6071,39.1210,3.3464,1.7262,2.0009,24.6367,26.4133,22.6661,1.2470,3.7471,median,0.3547,-0.1082,0.2113,0.1313,0.0096,0.3474,0.1652,0.3752,-0.2039,-0.0242
GWB.EAST_TIMOR,GWB,11.6354,47.9407,3.6784,1.8001,2.1920,24.5359,26.0601,22.6096,1.2414,3.4505,mean,1.8196,1.8955,1.9405,1.3405,1.7340,0.3212,0.0743,0.3639,-0.2089,-0.0981
GWB.EAST_TIMOR,GWB,11.7197,48.0693,3.7056,1.8056,2.1936,24.9531,26.3864,22.9944,1.2590,3.3920,median,1.9458,1.9241,2.0890,1.4358,1.7489,0.4312,0.1582,0.4410,-0.1932,-0.1134
GWB.WEST_BOMBERAI,GWB,9.8483,36.7373,3.1169,1.7346,1.8340,23.7744,24.3444,22.6422,0.7218,1.7022,mean,-0.6384,-0.6651,-0.8936,0.2633,-1.4809,0.1297,-0.3362,0.3704,-0.8464,-0.7265
GWB.WEST_BOMBERAI,GWB,9.8335,35.6872,3.1319,1.7158,1.8297,23.3656,23.9299,22.2329,0.7207,1.7020,median,-0.6570,-0.9128,-0.8237,-0.0292,-1.5193,0.0318,-0.4279,0.2903,-0.8482,-0.7266
Gaa.GAAGUDJU,Gaa,10.9657,42.2244,3.3600,1.7785,1.9539,27.2332,30.1904,24.5359,2.0710,5.6545,mean,0.8501,0.6066,0.2791,0.9746,-0.4118,1.1011,1.2799,0.7694,0.3440,0.3466
Gaa.GAAGUDJU,Gaa,10.9657,42.2244,3.3600,1.7785,1.9539,27.2332,30.1904,24.5359,2.0710,5.6545,median,0.8501,0.6066,0.2791,0.9746,-0.4118,1.1011,1.2799,0.7694,0.3440,0.3466
Gar.GARRWAN,Gar,10.6632,38.1089,3.3523,1.8491,1.9190,25.6449,29.3037,20.5459,3.2557,8.7579,mean,0.4312,-0.3438,0.2407,2.2119,-0.7238,0.6220,0.9939,-0.0180,0.7966,0.7444
Gar.GARRWAN,Gar,10.6632,38.1089,3.3523,1.8491,1.9190,25.6449,29.3037,20.5459,3.2557,8.7579,median,0.4312,-0.3438,0.2407,2.2119,-0.7238,0.6220,0.9939,-0.0180,0.7966,0.7444
Gch.GUACHI,Gch,11.2254,46.2222,3.5789,1.7474,2.1791,27.1053,29.6474,23.5119,2.4104,6.1355,mean,1.2192,1.5115,1.4061,0.4658,1.6174,1.0603,1.1029,0.5477,0.4995,0.4206
Gch.GUACHI,Gch,11.2254,46.2222,3.5789,1.7474,2.1791,27.1053,29.6474,23.5119,2.4104,6.1355,median,1.2192,1.5115,1.4061,0.4658,1.6174,1.0603,1.1029,0.5477,0.4995,0.4206
Gcu.ABIPON,Gcu,10.7300,47.2074,3.3719,1.6768,2.0907,20.8326,27.4061,13.8517,4.8435,13.5545,mean,0.5227,1.7320,0.3386,-0.6104,0.8178,-0.5038,0.4325,-0.9420,1.1680,1.1450
Gcu.ABIPON,Gcu,10.7300,47.2074,3.3719,1.6768,2.0907,20.8326,27.4061,13.8517,4.8435,13.5545,median,0.5227,1.7320,0.3386,-0.6104,0.8178,-0.5038,0.4325,-0.9420,1.1680,1.1450
Gcu.KADIWEU,Gcu,11.5387,43.5156,3.6225,1.7544,2.1863,24.8780,27.2837,20.9531,2.6249,6.3306,mean,1.6760,0.9007,1.6386,0.5784,1.6827,0.4111,0.3985,0.0533,0.5852,0.4490
Gcu.KADIWEU,Gcu,11.5387,43.5156,3.6225,1.7544,2.1863,24.8780,27.2837,20.9531,2.6249,6.3306,median,1.6760,0.9007,1.6386,0.5784,1.6827,0.4111,0.3985,0.0533,0.5852,0.4490
Gcu.QOM,Gcu,10.2213,42.2915,3.2916,1.6961,2.0114,22.6876,28.3686,16.4148,4.4115,11.9538,mean,-0.1594,0.6219,-0.0595,-0.3263,0.1038,-0.1233,0.7088,-0.6394,1.0828,1.0294
Gcu.QOM,Gcu,10.0939,42.0554,3.2703,1.6797,2.0129,22.1932,28.1129,15.8798,4.4712,12.2331,median,-0.3251,0.5679,-0.1633,-0.5682,0.1173,-0.2308,0.6337,-0.7074,1.0951,1.0506
Gii.GIIMBIYU,Gii,10.3513,36.1385,3.2918,1.8144,1.8909,26.3063,29.2941,23.5170,2.0737,5.7771,mean,0.0116,-0.8062,-0.0582,1.5886,-0.9749,0.8144,0.9909,0.5488,0.3454,0.3661
Gii.GIIMBIYU,Gii,10.4539,36.2966,3.3259,1.8212,1.9070,26.8226,29.6363,24.2970,1.9149,5.3393,median,0.1483,-0.7689,0.1096,1.7090,-0.8310,0.9716,1.0994,0.7164,0.2623,0.2948
Gmo.GUAMO,Gmo,9.6113,38.4400,3.1172,1.6104,1.9840,27.3695,30.0200,25.8825,1.6345,4.1375,mean,-0.9334,-0.2665,-0.8923,-1.5273,-0.1421,1.1450,1.2237,1.0833,0.0939,0.0649
Gmo.GUAMO,Gmo,9.6113,38.4400,3.1172,1.6104,1.9840,27.3695,30.0200,25.8825,1.6345,4.1375,median,-0.9334,-0.2665,-0.8923,-1.5273,-0.1421,1.1450,1.2237,1.0833,0.0939,0.0649
Gto.GUATO,Gto,10.7985,46.6329,3.3851,1.6368,2.1289,27.5730,30.2398,25.0240,2.0524,5.2158,mean,0.6171,1.6035,0.4049,-1.1734,1.1628,1.2113,1.2963,0.8802,0.3347,0.2736
Gto.GUATO,Gto,10.7985,46.6329,3.3851,1.6368,2.1289,27.5730,30.2398,25.0240,2.0524,5.2158,median,0.6171,1.6035,0.4049,-1.1734,1.1628,1.2113,1.2963,0.8802,0.3347,0.2736
Gua.GUAHIBAN,Gua,9.9922,40.1173,3.2522,1.6880,1.9995,26.4868,28.5581,25.0613,1.3984,3.4968,mean,-0.4558,0.1225,-0.2515,-0.4463,-0.0033,0.8686,0.7652,0.8888,-0.0763,-0.0861
Gua.GUAHIBAN,Gua,9.9675,39.9088,3.2447,1.6942,1.9921,26.6732,28.9548,25.0835,1.5563,3.8712,median,-0.4872,0.0743,-0.2873,-0.3543,-0.0694,0.9255,0.8856,0.8939,0.0409,0.0051
Gum.GUMUZ,Gum,11.0793,47.9012,3.4356,1.7005,2.1106,28.0495,32.1932,24.7806,2.4471,7.4127,mean,1.0105,1.8867,0.6609,-0.2605,0.9977,1.3708,1.9835,0.8245,0.5148,0.5923
Gum.GUMUZ,Gum,11.1714,48.7603,3.4564,1.6991,2.1226,28.1552,32.2746,24.9701,2.4471,7.3855,median,1.1417,2.0776,0.7671,-0.2820,1.1059,1.4069,2.0139,0.8678,0.5148,0.5890
Gun.ANINDILYAKWA,Gun,11.7275,49.1505,3.6456,1.8228,2.1357,26.1947,28.6968,22.4107,2.2731,6.2861,mean,1.9575,2.1641,1.7628,1.7373,1.2243,0.7812,0.8069,0.3248,0.4399,0.4426
Gun.ANINDILYAKWA,Gun,11.7275,49.1505,3.6456,1.8228,2.1357,26.1947,28.6968,22.4107,2.2731,6.2861,median,1.9575,2.1641,1.7628,1.7373,1.2243,0.7812,0.8069,0.3248,0.4399,0.4426
Gun.DJAUAN,Gun,10.4232,39.6795,3.1764,1.7652,1.8651,25.4329,29.5312,21.2407,2.8748,8.2905,mean,0.1073,0.0213,-0.6143,0.7543,-1.2045,0.5624,1.0658,0.1048,0.6754,0.6943
Gun.DJAUAN,Gun,10.4232,39.6795,3.1764,1.7652,1.8651,25.4329,29.5312,21.2407,2.8748,8.2905,median,0.1073,0.0213,-0.6143,0.7543,-1.2045,0.5624,1.0658,0.1048,0.6754,0.6943
Gun.EASTERN_GUNWINYGUAN,Gun,10.2423,39.0119,3.1943,1.7597,1.8767,26.2176,30.1116,22.1707,2.7335,7.9409,mean,-0.1320,-0.1335,-0.5295,0.6644,-1.1015,0.7880,1.2538,0.2783,0.6256,0.6550
Gun.EASTERN_GUNWINYGUAN,Gun,10.2262,38.8205,3.1850,1.7538,1.8849,26.1958,30.0146,21.9444,2.7630,8.0702,median,-0.1531,-0.1780,-0.5735,0.5687,-1.0281,0.7815,1.2220,0.2351,0.6362,0.6697
Gun.MARNE,Gun,9.7367,33.5410,3.0379,1.7208,1.8257,25.5917,28.6847,22.5586,2.1631,6.1261,mean,-0.7782,-1.4239,-1.2569,0.0482,-1.5548,0.6070,0.8033,0.3539,0.3890,0.4192
Gun.MARNE,Gun,9.7366,32.6518,2.9950,1.7133,1.8232,25.3130,28.4219,22.3928,2.1403,6.0291,median,-0.7783,-1.6376,-1.4503,-0.0674,-1.5770,0.5292,0.7246,0.3213,0.3781,0.4047
Gun.NUNGGUBUYU,Gun,11.4066,44.0661,3.4823,1.8509,1.9713,26.4832,29.4756,22.4885,2.4412,6.9870,mean,1.4819,1.0256,0.9004,2.2450,-0.2559,0.8675,1.0482,0.3401,0.5123,0.5386
Gun.NUNGGUBUYU,Gun,11.4066,44.0661,3.4823,1.8509,1.9713,26.4832,29.4756,22.4885,2.4412,6.9870,median,1.4819,1.0256,0.9004,2.2450,-0.2559,0.8675,1.0482,0.3401,0.5123,0.5386
Gun.WESTERN_GUNWINYGUAN,Gun,9.4895,35.6198,3.1369,1.7329,1.8662,27.3410,30.2786,24.8320,1.9575,5.4467,mean,-1.0821,-0.9288,-0.8003,0.2360,-1.1947,1.1358,1.3092,0.8362,0.2853,0.3128
Gun.WESTERN_GUNWINYGUAN,Gun,9.4895,35.6198,3.1369,1.7329,1.8662,27.3410,30.2786,24.8320,1.9575,5.4467,median,-1.0821,-0.9288,-0.8003,0.2360,-1.1947,1.1358,1.3092,0.8362,0.2853,0.3128
Gur.GURIASO,Gur,10.0097,39.0636,3.2406,1.7550,1.9450,25.6880,25.9909,25.2027,0.4729,0.7881,mean,-0.4334,-0.1215,-0.3073,0.5881,-0.4914,0.6342,0.0568,0.9216,-1.3832,-1.4010
Gur.GURIASO,Gur,10.0097,39.0636,3.2406,1.7550,1.9450,25.6880,25.9909,25.2027,0.4729,0.7881,median,-0.4334,-0.1215,-0.3073,0.5881,-0.4914,0.6342,0.0568,0.9216,-1.3832,-1.4010
HC.HOBITO-CHOLON,HC,9.5556,36.7303,3.0807,1.6756,1.9008,9.3318,10.1050,8.0203,0.8510,2.0847,mean,-1.0017,-0.6668,-1.0612,-0.6277,-0.8863,-1.7768,-2.1226,-1.4416,-0.6468,-0.5472
HC.HOBITO-CHOLON,HC,9.5556,36.7303,3.0807,1.6756,1.9008,9.3318,10.1050,8.0203,0.8510,2.0847,median,-1.0017,-0.6668,-1.0612,-0.6277,-0.8863,-1.7768,-2.1226,-1.4416,-0.6468,-0.5472
HM.HMONGIC,HM,9.9725,38.8934,3.2217,1.6980,2.0018,18.6754,25.3981,9.6652,5.6546,15.7329,mean,-0.4809,-0.1610,-0.3983,-0.2980,0.0178,-0.8726,-0.0900,-1.3240,1.3065,1.2825
HM.HMONGIC,HM,9.9857,38.5890,3.2554,1.6972,2.0000,19.1361,25.2911,10.4237,5.7759,15.8898,median,-0.4641,-0.2318,-0.2357,-0.3104,0.0015,-0.8000,-0.1159,-1.2640,1.3252,1.2917
HM.MIENIC,HM,10.0784,37.7118,3.1961,1.7378,1.9502,20.0576,26.2165,11.4769,5.3284,14.7396,mean,-0.3451,-0.4366,-0.5206,0.3133,-0.4451,-0.6449,0.1143,-1.1742,1.2538,1.2223
