Macroarea,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method
Africa,10.51618076353951,39.39467821840781,3.324278958271678,1.7222000887836637,2.010781621781592,24.460273346013278,26.953279156049923,22.174850605244732,1.7798079753359972,4.778428550805188,mean
Africa,10.5543,39.3416,3.3355,1.724,2.0174,25.214321138211382,27.001000000000005,23.333048780487808,1.5205523521617454,4.052999999999994,median
Australia,10.751241056910569,41.44904268292684,3.3950642276422762,1.802881300813008,1.9632170731707317,23.59181161180514,28.09199890937934,18.367313702161415,3.5291046354633226,9.724685207217924,mean
Australia,10.75915,41.71395,3.3977000000000004,1.8052000000000001,1.96415,25.457309959349594,29.121085365853666,20.335024390243902,3.1642544371331374,8.751573170731712,median
Eurasia,9.825025515055469,36.48232382461701,3.160874326465927,1.6865730058108823,1.9309534072900159,14.607282638432565,23.22649349980029,5.17943959130558,6.4659910395029465,18.047053908494707,mean
Eurasia,9.8027,36.5936,3.1506,1.6882,1.9184,16.05119918699187,24.453658536585362,6.015902439024391,6.393789610615634,17.63909756097561,median
NorthAmerica,9.39680876369327,35.573169014084506,3.0689071987480436,1.6276957746478875,1.917147261345853,14.35998064811634,20.778520821405397,8.249076873163098,4.5792161625656895,12.5294439482423,mean
NorthAmerica,9.3962,35.1705,3.075,1.6307,1.9142,14.770727642276421,20.487170731707312,11.026243902439026,3.0139368649772904,7.847780487804879,median
Pacific,10.636422169249105,41.56065621771951,3.384119904648391,1.7455930075486692,2.033813309495431,23.978470574079996,24.819297450507282,22.96404546643798,0.7983139026168439,1.8552519840693047,mean
Pacific,10.6178,41.4378,3.3797,1.7457,2.0261,25.370924796747964,26.146634146341462,24.329609756097557,0.59316998810695,1.2688780487804898,median
SouthAmerica,10.485341386138614,41.96141386138614,3.386058613861386,1.7119324752475247,2.068211881188119,22.056815274088386,23.73910321178459,20.498404105288575,1.3809272277377103,3.240699106496016,mean
SouthAmerica,10.5324,41.9805,3.3924,1.7207,2.0727,25.158945121951216,26.009780487804875,24.19134146341463,1.1490522878538165,2.318756097560982,median
