Name,Macroarea,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Bedja Bedawi,Africa,AA,10.0522,39.1087,3.1524,1.6679,1.9128,27.032137499999997,33.51392500000001,19.75875,4.9079532574105755,13.755175000000008,-0.39900812259324103,-0.045646669932189125,-0.6739114290486794,-0.7811209069637581,-0.7259483240447221,1.1103426628295825,2.258010789456596,-0.08936410730351416,1.1347047149028373,1.0989248985450715
Beja,Africa,AA,9.9249,39.2879,3.1266,1.6473,1.923,27.986760416666666,33.99835,21.6625,4.150779270572755,12.33585,-0.5580470263251605,-0.006367114135558481,-0.7886943465479852,-1.0775928425373178,-0.6374685299366283,1.4329818467877677,2.425480614500649,0.2464285242525805,0.982070213358173,0.9995672138127435
Beja 2,Africa,AA,10.5131,42.161,3.2775,1.7017,1.98,27.986760416666666,33.99835,21.6625,4.150779270572755,12.33585,0.1956873972740751,0.6179920774989263,-0.10490295841497474,-0.2694844951442436,-0.1415760667600573,1.4329818467877677,2.425480614500649,0.2464285242525805,0.982070213358173,0.9995672138127435
Awjilah,Africa,AA,8.9571,31.4309,3.005,1.622,1.8658,21.546833333333332,29.165225,12.250950000000001,6.341225423874229,16.914274999999996,-1.6937566642836657,-1.7704062888168497,-1.3178471634897615,-1.4263218656584353,-1.1326171895342627,-0.3323664904231422,0.9016819552862928,-1.052301799838804,1.358893979593501,1.287338370882083
Ayt Seghrouchen,Africa,AA,8.6096,27.4235,2.7207,1.5677,1.6884,10.644645833333334,21.130625000000002,2.51265,6.685977728891463,18.617975,-2.0700786696303823,-2.7081478549410334,-2.4785259113157574,-2.1199244517575226,-2.6517408313506707,-1.7052096019231584,-0.9473326675645478,-1.691306551744926,1.4038713358161041,1.3747087037078523
Beni Snous Western Algerian Berber,Africa,AA,8.718,29.193,2.9093,1.5965,1.8154,15.121045833333335,24.7223,7.315375000000001,6.218668285391386,17.406925,-1.9544634422124951,-2.290487563745638,-1.7205323292663226,-1.7611625300468454,-1.566789778223324,-1.3240096540796735,-0.22162709207827763,-1.4423359118463086,1.3421987449205668,1.3134820372390352
Chaoui,Africa,AA,8.706,30.634,2.8232,1.5605,1.7751,14.639462500000002,25.847199999999997,4.939275000000001,7.5315413500111035,20.907924999999995,-1.9673413394987131,-1.9546071280538202,-2.0724400333276236,-2.2064838396360877,-1.9124998960955946,-1.3752126929235378,0.038603480538598633,-1.5791624722324975,1.5034067421141706,1.4802385815018322
Chenoua,Africa,AA,9.3881,32.3187,2.9663,1.6285,1.8304,18.4465,26.85795,11.741900000000001,5.440717119553267,15.116049999999998,-1.2039585064387572,-1.5664391847466055,-1.482150048693201,-1.3383193378532487,-1.4377814359132408,-0.8888560411625964,0.28624917620789775,-1.1001146289888895,1.2261921290482782,1.1849358858134107
Figuig,Africa,AA,8.865,30.8412,2.974,1.6234,1.8356,17.064714583333334,29.139124999999996,6.776375,7.897208439523888,22.36275,-1.795107966681436,-1.9066098418512016,-1.4496173686140728,-1.407459536222963,-1.3930168749149845,-1.0879953245836866,0.8943241371419393,-1.4759489820089013,1.5424097067449543,1.5413964462504255
Foqaha,Africa,AA,9.3299,34.1364,3.0997,1.6471,1.9096,21.40318333333333,29.039125000000002,10.963275,6.828891934864364,18.075850000000003,-1.2715932559744676,-1.1527481434218443,-0.9074353537785579,-1.0804155109821942,-0.7536903330124827,-0.3618267962841381,0.8662179924038742,-1.169624991002371,1.4217138518130326,1.347811972258213
