Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Gun,10.137907142857141,37.167021428571424,3.1635142857142857,1.749764285714286,1.8748714285714285,25.928150744047617,29.21608035714285,22.53030535714285,2.3464416161650483,6.685775000000005,mean,-0.2884576138125748,-0.6415408640498104,-0.7531781747401501,0.5199909004708424,-1.2358200189587276,0.6636896743682081,0.9088817169170998,0.3517076551163846,0.4498080698392436,0.49325131117543985
Gun,10.0878,36.563900000000004,3.158,1.74875,1.8563,26.119779166666664,29.077325000000002,22.345399999999994,2.2033662439414314,6.160487500000002,median,-0.3561319567482396,-0.7872876928283857,-0.7798491647998039,0.5044412026515295,-1.4154787371687119,0.7158634777970713,0.8664800829174562,0.31785043398755963,0.3865410306130202,0.4212517371268066
Son,10.285942857142858,38.24348571428572,3.2257142857142855,1.7168142857142856,1.9549714285714281,28.279406696428573,33.993449999999996,21.982242857142857,3.9384904385629516,12.011207142857147,mean,-0.08534450843597904,-0.3808212333446218,-0.4472073238120905,0.02223557176779717,-0.46605615603338096,1.3536141466163205,2.602784743205035,0.25238183826182,0.9466669510663449,1.008232406924041
Son,10.36805,38.15245,3.2424999999999997,1.71395,1.9537499999999999,28.710781250000004,33.731012500000006,23.3872375,3.293783451567526,10.516787500000003,median,0.0293693314931311,-0.402898864282509,-0.3630135054575981,-0.020315856671572537,-0.4777330586935868,1.49238104109587,2.497441546046804,0.5133105670293444,0.7798899301593268,0.8915193093676154
Gmo,9.6113,38.44,3.1172,1.6104,1.984,27.337283333333335,30.00197500000001,25.850900000000003,1.6310316925866961,4.151075000000006,mean,-0.9728822923216528,-0.33314539679334204,-0.9749016920854963,-1.482831321437981,-0.1890855721809573,1.0639387810615313,1.1560234137736487,1.0228999982985485,0.07494323402228245,0.07362345493632358
Gmo,9.6113,38.44,3.1172,1.6104,1.984,27.337283333333335,30.00197500000001,25.850900000000003,1.6310316925866961,4.151075000000006,median,-0.9728822923216528,-0.33314539679334204,-0.9749016920854963,-1.482831321437981,-0.1890855721809573,1.0639387810615313,1.1560234137736487,1.0228999982985485,0.07494323402228245,0.07362345493632358
KE,10.4514,40.019299999999994,3.337566666666666,1.6859666666666666,2.070066666666667,25.91006111111111,26.831566666666664,24.82294166666666,0.8640793529683677,2.008625000000002,mean,0.14733121780799469,0.05088265673349185,0.12697137661391625,-0.43003946275910615,0.6261178424780209,0.6588004461504531,0.23015355565724177,0.8019236207002801,-0.6356801409750362,-0.5666620211779231
KE,10.5306,39.7387,3.3525,1.6881,2.0617,25.98950208333333,26.844499999999993,24.926674999999996,0.8074458702160741,1.917824999999997,median,0.26083772829270785,-0.017461800271825968,0.20598619139770566,-0.3991853787480421,0.5472549075188916,0.6803176913398971,0.23355498739802485,0.8236698690933736,-0.7159447475808196,-0.6075115502374854
Cho,10.575088888888889,43.14432222222222,3.427322222222222,1.692977777777778,2.1005888888888884,22.292609953703703,22.711780555555556,21.685450000000003,0.6506498019644155,1.0263305555555557,mean,0.3252061047660273,0.815211089253933,0.6103413481322217,-0.3284027837774295,0.9131307276089036,-0.2009572927728727,-0.7080290510926385,0.19987728369668714,-0.9775803371896549,-1.160167974681452
Cho,10.7337,43.1363,3.4531,1.7,2.1148,25.461920833333334,25.888800000000003,24.90287500000001,0.6225403216386649,0.9859249999999946,median,0.5582733706747299,0.8132416945540595,0.7529377113962766,-0.2259239637645439,1.046400626384338,0.5396397103106101,-0.009840105960293595,0.8186696872219127,-1.0322422206407682,-1.1957080439427772
Wit,10.975136363636365,43.856927272727276,3.465372727272727,1.7096181818181817,2.1525454545454545,25.18080340909091,25.548972727272723,24.404354545454545,0.578055116633663,1.1446181818181775,mean,0.9238784591957311,0.9902959731232424,0.8214233049229932,-0.08445172091860707,1.3992708793901978,0.46679471452362037,-0.09255246702132497,0.7154111539908525,-1.1248961463031302,-1.0636687129530384
Wit,11.2524,44.926,3.5693,1.7354,2.1941,25.162014583333335,25.527125,24.365225000000002,0.5680970313828195,1.100275,median,1.360073414758298,1.2534979082707016,1.4169020117134472,0.30112631537305345,1.7859336169836253,0.4619778091979387,-0.09780223820150441,0.7074247109363159,-1.146775236270029,-1.0986186081813192
Bar,9.502733333333333,36.91018333333333,3.14415,1.6604666666666665,1.9502,22.728515972222223,23.16724166666667,22.202083333333334,0.7095159285217524,0.9651583333333337,mean,-1.1067074792852043,-0.7036360812899219,-0.8465126952442811,-0.7939981657462706,-0.5116817534391546,-0.10921392124510625,-0.6179887784170944,0.2918518817916574,-0.8715157224155037,-1.2145466898390385
Bar,9.71455,37.224599999999995,3.1825,1.6621,1.96275,24.8896,25.264624999999995,24.1330125,0.666061441812121,0.8005249999999986,median,-0.8433232632589013,-0.6276142971327863,-0.6607850287989017,-0.7709529127391347,-0.3917362609363357,0.392861584518095,-0.16024134886687175,0.6603809127333459,-0.9487640059704229,-1.3801036424653554
GA,10.293520000000001,38.98773,3.3470400000000007,1.70536,2.02379,26.849807708333334,28.186715000000003,25.441160000000004,0.9018123731100218,2.7455550000000004,mean,-0.07482000802418003,-0.20013335876457874,0.1770315586849114,-0.14724303325746022,0.1888927145880444,0.9210871485672495,0.6029843696745558,0.9333495360792436,-0.5855261934558553,-0.2908241859658198
