phone,base,count,tags
n,n,116415,consonant; len-1
m,m,85870,consonant; len-1
k,k,83915,consonant; len-1
t,t,75207,consonant; len-1
l,l,64907,consonant; len-1
r,r,64090,consonant; len-1
s,s,48980,consonant; len-1
b,b,47374,consonant; len-1
d,d,37720,consonant; len-1
p,p,36741,consonant; len-1
g,g,34990,consonant; len-1
N,N,32826,consonant; len-1
h,h,28717,consonant; len-1
7,7,20619,consonant; len-1
S,S,13043,consonant; len-1
f,f,12932,consonant; len-1
C,C,12488,consonant; len-1
x,x,11425,consonant; len-1
5,5,10326,consonant; len-1
v,v,9467,consonant; len-1
c,c,8508,consonant; len-1
z,z,8387,consonant; len-1
j,j,8341,consonant; len-1
q,q,5218,consonant; len-1
L,L,4553,consonant; len-1
X,X,3435,consonant; len-1
T,T,3396,consonant; len-1
Z,Z,2138,consonant; len-1
8,8,2132,consonant; len-1
!,!,634,consonant; len-1
G,G,242,consonant; len-1
4,4,202,consonant; len-1
kh,k,2558,consonant; len-1; aspirated
th,t,2275,consonant; len-1; aspirated
ph,p,1143,consonant; len-1; aspirated
Ch,C,544,consonant; len-1; aspirated
ch,c,492,consonant; len-1; aspirated
dh,d,211,consonant; len-1; aspirated
Th,T,190,consonant; len-1; aspirated
qh,q,138,consonant; len-1; aspirated
gh,g,133,consonant; len-1; aspirated
bh,b,117,consonant; len-1; aspirated
sh,s,115,consonant; len-1; aspirated
nh,n,102,consonant; len-1; aspirated
mh,m,60,consonant; len-1; aspirated
lh,l,50,consonant; len-1; aspirated
rh,r,47,consonant; len-1; aspirated
Sh,S,31,consonant; len-1; aspirated
Nh,N,25,consonant; len-1; aspirated
!h,!,18,consonant; len-1; aspirated
zh,z,17,consonant; len-1; aspirated
fh,f,13,consonant; len-1; aspirated
xh,x,13,consonant; len-1; aspirated
8h,8,11,consonant; len-1; aspirated
Zh,Z,9,consonant; len-1; aspirated
jh,j,8,consonant; len-1; aspirated
vh,v,8,consonant; len-1; aspirated
5h,5,3,consonant; len-1; aspirated
Lh,L,3,consonant; len-1; aspirated
7h,7,2,consonant; len-1; aspirated
S"h,S,1,consonant; len-1; aspirated; glottalized
t"h,t,1,consonant; len-1; aspirated; glottalized
khw,k,81,consonant; len-1; aspirated; labialized
thw,t,10,consonant; len-1; aspirated; labialized
qhw,q,9,consonant; len-1; aspirated; labialized
nhw,n,4,consonant; len-1; aspirated; labialized
!hw,!,2,consonant; len-1; aspirated; labialized
bhw,b,2,consonant; len-1; aspirated; labialized
Chw,C,1,consonant; len-1; aspirated; labialized
Nhw,N,1,consonant; len-1; aspirated; labialized
chw,c,1,consonant; len-1; aspirated; labialized
phw,p,1,consonant; len-1; aspirated; labialized
vhw,v,1,consonant; len-1; aspirated; labialized
thw*,t,1,consonant; len-1; aspirated; labialized; nasalized
khy,k,38,consonant; len-1; aspirated; palatalized
phy,p,25,consonant; len-1; aspirated; palatalized
thy,t,13,consonant; len-1; aspirated; palatalized
Chy,C,3,consonant; len-1; aspirated; palatalized
chy,c,2,consonant; len-1; aspirated; palatalized
mhy,m,2,consonant; len-1; aspirated; palatalized
7hy,7,1,consonant; len-1; aspirated; palatalized
Thy,T,1,consonant; len-1; aspirated; palatalized
bhy,b,1,consonant; len-1; aspirated; palatalized
nhy,n,1,consonant; len-1; aspirated; palatalized
khx,k,2,consonant; len-1; aspirated; velarized
chx,c,1,consonant; len-1; aspirated; velarized
phx,p,1,consonant; len-1; aspirated; velarized
k",k,2282,consonant; len-1; glottalized
b",b,2040,consonant; len-1; glottalized
c",c,1238,consonant; len-1; glottalized
d",d,996,consonant; len-1; glottalized
C",C,932,consonant; len-1; glottalized
t",t,929,consonant; len-1; glottalized
q",q,858,consonant; len-1; glottalized
p",p,338,consonant; len-1; glottalized
L",L,222,consonant; len-1; glottalized
n",n,142,consonant; len-1; glottalized
s",s,137,consonant; len-1; glottalized
m",m,120,consonant; len-1; glottalized
l",l,96,consonant; len-1; glottalized
T",T,81,consonant; len-1; glottalized
g",g,42,consonant; len-1; glottalized
8",8,36,consonant; len-1; glottalized
!",!,28,consonant; len-1; glottalized
S",S,15,consonant; len-1; glottalized
h",h,15,consonant; len-1; glottalized
N",N,14,consonant; len-1; glottalized
X",X,11,consonant; len-1; glottalized
x",x,10,consonant; len-1; glottalized
r",r,8,consonant; len-1; glottalized
